Date,Open,High,Low,Close,Volume
08/12/2021,"9.00","9.00","8.70","8.78","48,998"
08/11/2021,"8.78","9.00","8.60","8.94","27,456"
08/10/2021,"9.00","9.26","8.57","8.68","38,132"
08/09/2021,"9.30","9.30","8.93","9.06","34,899"
08/06/2021,"8.15","9.50","8.10","9.00","52,329"
08/05/2021,"8.26","8.30","7.28","8.05","374,529"
08/04/2021,"10.50","10.52","8.76","9.05","40,971"
08/03/2021,"11.01","11.29","10.53","10.70","17,744"
08/02/2021,"11.16","11.30","10.82","10.91","17,885"
07/30/2021,"10.95","11.22","10.95","11.09","1,967"
07/29/2021,"11.55","11.55","11.06","11.08","9,120"
07/28/2021,"11.51","11.65","11.50","11.50","12,753"
07/27/2021,"11.95","11.95","11.49","11.50","14,288"
07/26/2021,"11.21","11.73","11.21","11.60","23,476"
07/23/2021,"11.25","11.64","11.06","11.23","15,999"
07/22/2021,"11.04","11.25","10.96","11.04","18,634"
07/21/2021,"11.27","11.50","10.91","11.00","65,997"
07/20/2021,"10.89","11.28","10.87","11.00","44,875"
07/19/2021,"10.90","11.09","10.89","10.89","21,404"
07/16/2021,"11.05","11.23","10.91","11.15","32,899"
07/15/2021,"10.99","11.28","10.75","11.28","61,215"
07/14/2021,"11.15","11.22","11.15","11.18","72,816"
07/13/2021,"11.25","11.28","11.18","11.25","5,896"
07/12/2021,"11.16","11.28","11.13","11.28","6,499"
07/09/2021,"11.20","11.31","11.15","11.26","7,786"
07/08/2021,"10.81","11.50","10.81","11.25","7,579"
07/07/2021,"11.24","11.25","11.17","11.25","3,207"
07/06/2021,"10.70","11.00","10.48","11.00","16,013"
07/02/2021,"11.15","11.17","10.75","10.75","11,211"
07/01/2021,"11.57","11.57","11.00","11.35","23,381"
06/30/2021,"11.57","11.91","11.14","11.22","14,238"
06/29/2021,"11.89","11.96","11.62","11.64","21,027"
06/28/2021,"11.77","12.00","11.64","11.64","18,115"
06/25/2021,"12.30","12.30","11.85","11.96","18,126"
06/24/2021,"12.22","12.50","12.19","12.19","2,122"
06/23/2021,"12.40","12.46","11.62","12.02","10,385"
06/22/2021,"12.33","12.50","12.15","12.17","4,281"
