Date,Open,High,Low,Close,Volume
08/11/2021,"13.68","13.68","13.04","13.04","26,542"
08/10/2021,"13.49","13.77","13.43","13.68","43,905"
08/09/2021,"13.29","13.59","13.18","13.49","83,165"
08/06/2021,"13.24","13.30","12.99","13.29","74,435"
08/05/2021,"13.10","13.50","13.03","13.20","39,002"
08/04/2021,"13.01","13.19","12.98","13.12","32,914"
08/03/2021,"13.06","13.18","12.81","13.04","34,905"
08/02/2021,"12.99","13.13","12.82","13.05","56,119"
07/30/2021,"12.83","13.01","12.75","12.97","46,728"
07/29/2021,"12.97","13.30","12.90","13.00","73,015"
07/28/2021,"12.57","13.19","12.41","12.85","86,163"
07/27/2021,"12.25","12.49","11.98","12.49","202,956"
07/26/2021,"12.90","13.04","12.17","12.31","77,188"
07/23/2021,"12.45","13.39","12.41","13.02","253,984"
07/22/2021,"12.55","12.68","12.25","12.55","147,111"
07/21/2021,"12.10","13.05","12.10","12.43","148,432"
07/20/2021,"12.30","12.30","12.03","12.09","182,421"
07/19/2021,"12.27","12.43","11.77","12.23","244,400"
07/16/2021,"12.59","12.66","12.22","12.36","106,713"
07/15/2021,"13.00","13.00","12.19","12.42","132,804"
07/14/2021,"12.54","13.27","12.45","12.99","208,819"
07/13/2021,"12.68","12.71","12.36","12.51","76,193"
07/12/2021,"12.94","13.21","12.66","12.78","56,908"
07/09/2021,"12.94","13.03","12.57","12.99","143,770"
07/08/2021,"13.49","13.49","12.64","12.79","113,794"
07/07/2021,"13.89","13.89","13.42","13.51","83,543"
07/06/2021,"14.01","14.01","13.42","13.74","123,814"
07/02/2021,"14.17","14.17","13.70","14.00","70,077"
07/01/2021,"14.50","14.69","14.12","14.17","58,366"
06/30/2021,"14.91","14.99","14.43","14.50","121,364"
06/29/2021,"14.53","15.28","14.09","14.94","304,981"
06/28/2021,"15.05","15.24","14.46","14.50","170,284"
06/25/2021,"15.01","15.47","14.99","15.05","123,357"
06/24/2021,"15.34","15.49","14.91","15.00","106,427"
06/23/2021,"14.85","15.50","14.77","15.25","272,052"
06/22/2021,"14.82","15.00","14.65","14.81","129,163"
06/21/2021,"15.00","15.11","14.55","14.85","127,685"
06/18/2021,"15.19","15.22","14.75","14.75","174,721"
06/17/2021,"15.98","15.99","15.10","15.29","164,594"
06/16/2021,"15.51","16.00","15.42","15.99","186,954"
06/15/2021,"15.35","15.60","15.25","15.34","135,238"
06/14/2021,"15.58","15.69","15.09","15.35","77,027"
06/11/2021,"15.20","15.89","15.08","15.39","213,320"
06/10/2021,"14.82","15.21","14.44","15.04","101,423"
06/09/2021,"13.86","14.92","13.70","14.71","134,263"
06/08/2021,"14.57","14.57","14.06","14.12","85,128"
06/07/2021,"14.43","14.80","14.25","14.50","115,649"
06/04/2021,"14.81","14.93","14.31","14.38","136,475"
06/03/2021,"14.93","15.00","14.53","14.70","136,650"
06/02/2021,"14.68","15.09","14.45","14.89","91,523"
06/01/2021,"14.88","14.92","14.20","14.61","154,731"
05/28/2021,"14.39","14.51","14.20","14.48","159,636"
05/27/2021,"14.49","14.68","14.01","14.15","265,675"
05/26/2021,"13.85","14.43","13.67","14.38","254,670"
05/25/2021,"13.46","14.24","13.25","13.79","319,678"
05/24/2021,"13.49","13.49","12.63","13.33","268,973"
05/21/2021,"13.33","13.50","12.94","13.05","608,707"
05/20/2021,"12.62","13.27","12.22","12.91","660,832"
05/19/2021,"12.96","12.96","12.23","12.25","287,468"
05/18/2021,"12.84","13.04","12.02","12.89","617,177"
05/17/2021,"11.88","12.56","11.70","12.39","261,468"
05/14/2021,"11.30","11.73","10.99","11.60","1,113,030"
05/13/2021,"10.86","11.28","10.86","11.22","93,076"
05/12/2021,"10.69","10.88","10.51","10.86","115,252"
05/11/2021,"10.80","11.02","10.50","10.69","299,988"
05/10/2021,"11.03","11.25","10.77","10.82","163,334"
05/07/2021,"11.49","11.65","10.91","11.05","1,086,593"
05/06/2021,"11.60","11.66","11.22","11.51","499,390"
05/05/2021,"11.21","11.60","11.03","11.58","599,677"
05/04/2021,"10.76","11.56","10.51","11.20","186,241"
05/03/2021,"11.11","11.62","10.86","10.92","355,533"
04/30/2021,"11.02","11.29","10.86","11.10","100,974"
04/29/2021,"11.27","11.42","11.01","11.09","337,031"
04/28/2021,"11.21","11.36","11.02","11.11","277,202"
04/27/2021,"11.44","11.65","11.20","11.20","137,761"
04/26/2021,"11.88","11.93","11.40","11.44","168,759"
04/23/2021,"12.00","12.25","11.80","11.82","139,685"
04/22/2021,"11.65","12.22","11.52","11.99","623,842"
04/21/2021,"11.57","12.36","11.48","11.59","304,621"
04/20/2021,"12.25","12.41","11.59","11.61","235,237"
04/19/2021,"12.21","12.36","11.96","12.21","138,122"
04/16/2021,"12.06","12.29","11.99","12.25","170,331"
04/15/2021,"12.22","12.22","12.00","12.00","119,321"
04/14/2021,"12.49","12.79","12.20","12.30","134,431"
04/13/2021,"12.46","12.87","12.26","12.42","133,094"
04/12/2021,"12.37","12.75","12.37","12.59","157,904"
04/09/2021,"12.41","12.57","12.14","12.49","92,965"
04/08/2021,"12.50","12.80","12.33","12.47","289,310"
04/07/2021,"12.71","12.87","12.22","12.48","394,722"
04/06/2021,"12.98","13.00","12.68","12.69","74,318"
04/05/2021,"12.97","13.29","12.53","13.09","275,789"
04/01/2021,"13.20","13.32","12.61","12.85","445,219"
03/31/2021,"13.11","13.35","12.95","13.15","122,656"
03/30/2021,"12.97","13.06","12.79","12.99","71,251"
03/29/2021,"13.00","13.33","12.76","13.00","161,275"
03/26/2021,"12.82","13.20","12.52","13.03","224,171"
03/25/2021,"12.62","12.99","12.39","12.75","358,693"
03/24/2021,"13.20","13.30","12.55","12.73","677,231"
03/23/2021,"13.90","14.11","13.66","13.70","213,396"
03/22/2021,"14.24","14.24","13.42","13.95","154,653"
03/19/2021,"14.80","14.80","13.30","14.00","816,105"
03/18/2021,"15.21","15.50","14.00","14.81","333,201"
03/17/2021,"15.20","15.77","15.06","15.59","161,495"
03/16/2021,"15.01","15.38","15.01","15.12","42,025"
03/15/2021,"14.50","15.10","14.30","15.04","67,186"
03/12/2021,"14.70","14.82","14.26","14.53","193,558"
03/11/2021,"14.90","15.41","14.55","14.90","104,375"
03/10/2021,"14.90","15.69","14.31","14.79","384,508"
03/09/2021,"15.70","15.89","14.49","14.63","444,367"
03/08/2021,"17.25","17.45","15.59","15.64","199,599"
03/05/2021,"16.41","17.65","16.00","17.19","165,604"
03/04/2021,"15.77","16.77","15.45","16.44","193,001"
03/03/2021,"16.75","17.25","15.98","15.99","341,496"
03/02/2021,"18.55","18.67","16.22","16.28","652,659"
03/01/2021,"15.99","17.19","15.83","16.76","545,791"
02/26/2021,"15.54","16.42","14.53","15.67","514,559"
02/25/2021,"16.79","17.30","15.50","15.61","344,850"
02/24/2021,"17.19","18.60","16.40","16.71","208,437"
02/23/2021,"17.54","18.00","16.63","17.19","259,984"
02/22/2021,"17.78","19.21","17.50","17.51","499,810"
02/19/2021,"18.39","19.45","17.13","19.40","436,141"
02/18/2021,"18.10","18.48","17.81","17.97","32,466"
02/17/2021,"18.55","18.60","17.50","18.00","93,431"
02/16/2021,"18.68","19.14","18.36","18.65","228,146"
02/12/2021,"18.50","18.81","18.27","18.59","198,568"
02/11/2021,"18.58","18.80","18.34","18.50","185,759"
02/10/2021,"18.41","18.89","18.07","18.60","83,526"
02/09/2021,"18.62","18.94","18.42","18.43","110,774"
02/08/2021,"18.78","19.13","18.44","18.81","344,268"
02/05/2021,"19.00","19.13","18.39","18.75","416,998"
02/04/2021,"18.45","19.46","18.01","19.12","330,733"
02/03/2021,"18.36","18.80","18.00","18.40","637,392"
02/02/2021,"18.00","18.95","17.70","18.37","926,698"
02/01/2021,"17.10","18.50","17.10","18.33","935,806"
01/29/2021,"16.55","17.53","15.00","17.05","1,631,784"
01/28/2021,"17.70","17.89","16.27","16.90","5,935,085"
