Date,Open,High,Low,Close,Volume
08/20/2021,"4.5800","4.6400","4.5200","4.6100","14,430"
08/19/2021,"4.8400","4.9854","4.6200","4.6200","11,466"
08/18/2021,"4.8200","4.9486","4.8000","4.8700","14,218"
08/17/2021,"5.0500","5.1289","4.8000","4.8200","12,890"
08/16/2021,"5.0800","5.8700","4.9000","5.0600","140,129"
08/13/2021,"5.3200","5.3200","4.9105","5.0500","32,663"
08/12/2021,"5.4100","5.5600","5.1948","5.5400","8,670"
08/11/2021,"5.2800","5.3560","5.1500","5.3400","22,772"
08/10/2021,"5.4900","5.6499","5.4000","5.4900","3,490"
08/09/2021,"5.2500","5.6800","5.2500","5.4100","20,145"
08/06/2021,"5.3500","5.3500","5.2000","5.2100","17,282"
08/05/2021,"5.3200","5.4500","5.3000","5.3500","3,291"
08/04/2021,"5.4500","5.5104","5.2100","5.2900","29,103"
08/03/2021,"5.5300","5.5750","5.3100","5.5000","17,066"
08/02/2021,"5.9500","6.1156","5.4700","5.5300","24,536"
07/30/2021,"5.6900","6.0000","5.5200","5.9500","18,842"
07/29/2021,"5.6100","5.9400","5.4011","5.7900","34,444"
07/28/2021,"5.4300","5.8300","5.2700","5.5900","23,344"
07/27/2021,"5.1500","5.7500","5.1500","5.4900","43,529"
07/26/2021,"6.2432","6.2432","5.1100","5.6800","404,063"
07/23/2021,"5.5700","6.0599","5.5700","5.7100","74,370"
07/22/2021,"5.7400","5.7700","5.6000","5.6300","8,932"
07/21/2021,"5.8100","5.8900","5.7000","5.8200","16,313"
07/20/2021,"5.7100","5.9800","5.6336","5.7200","12,623"
07/19/2021,"5.5500","5.9400","5.5000","5.7500","19,643"
07/16/2021,"6.0300","6.0999","5.7061","5.7100","30,415"
07/15/2021,"6.1804","6.1804","6.0500","6.1100","25,825"
07/14/2021,"6.4100","6.4100","6.1500","6.2900","18,116"
07/13/2021,"6.4600","6.5100","6.2394","6.3100","22,523"
07/12/2021,"6.3700","6.6500","6.2300","6.5600","77,218"
07/09/2021,"6.1200","6.5000","6.0200","6.3700","41,949"
07/08/2021,"6.2800","6.3180","6.0100","6.1000","45,203"
07/07/2021,"6.4100","6.5000","6.1501","6.2300","68,673"
07/06/2021,"6.3100","6.4200","6.2000","6.4150","40,318"
07/02/2021,"6.3405","6.3500","6.2101","6.2300","26,901"
07/01/2021,"6.3800","6.4200","6.2900","6.3400","12,814"
06/30/2021,"6.2800","6.4500","6.0600","6.2900","35,267"
06/29/2021,"6.5100","6.5100","6.2200","6.2800","22,215"
06/28/2021,"6.6000","6.6000","6.1544","6.4900","68,816"
06/25/2021,"6.7100","6.8200","6.5000","6.5900","33,731"
06/24/2021,"6.8700","6.9400","6.4200","6.7700","76,337"
06/23/2021,"6.5200","6.9500","6.4800","6.9500","115,991"
06/22/2021,"6.5300","6.7000","6.2800","6.5000","163,058"
06/21/2021,"5.8100","7.4500","5.8100","6.7800","2,487,547"
06/18/2021,"6.0200","6.1188","5.7600","6.0400","81,099"
06/17/2021,"5.8000","6.0800","5.8000","6.0800","53,025"
06/16/2021,"5.6100","5.8600","5.5500","5.8600","49,167"
06/15/2021,"5.9400","5.9400","5.6007","5.7000","66,888"
06/14/2021,"6.2100","6.2800","5.8400","5.9100","65,786"
06/11/2021,"6.4300","6.7700","5.9922","6.1300","184,747"
06/10/2021,"6.2400","6.4976","5.9750","6.2400","50,838"
06/09/2021,"6.8000","6.9480","5.8100","6.1400","350,368"
06/08/2021,"5.5700","5.8100","5.4300","5.6200","111,255"
06/07/2021,"5.4800","5.6549","5.4601","5.6200","30,720"
06/04/2021,"5.7000","5.7700","5.4300","5.4500","85,956"
06/03/2021,"5.2800","5.5599","5.2619","5.4300","26,438"
06/02/2021,"5.5900","5.6500","5.3000","5.3400","93,687"
06/01/2021,"5.3100","5.5000","5.0800","5.4600","72,976"
05/28/2021,"5.2500","5.6358","5.2100","5.2500","33,271"
05/27/2021,"5.1300","5.3800","5.1000","5.2900","40,528"
05/26/2021,"5.1700","5.2500","5.0100","5.0900","46,722"
05/25/2021,"5.5800","5.6200","5.3100","5.3100","47,233"
05/24/2021,"5.7500","5.7500","5.4900","5.5700","109,033"
05/21/2021,"5.6200","5.7800","5.4098","5.7200","69,052"
05/20/2021,"5.4600","5.7000","5.3400","5.5900","167,935"
05/19/2021,"5.6500","5.6900","5.0800","5.4500","291,114"
05/18/2021,"4.7000","6.4400","4.6540","5.6700","4,249,493"
05/17/2021,"4.7000","4.7800","4.7000","4.7499","14,647"
05/14/2021,"4.8400","4.8499","4.7200","4.7901","4,464"
05/13/2021,"4.8500","4.9800","4.7100","4.7100","29,333"
05/12/2021,"4.7700","4.8800","4.7700","4.8100","19,979"
05/11/2021,"4.8000","4.9000","4.7616","4.8900","22,374"
05/10/2021,"4.8500","4.9700","4.8000","4.9600","33,975"
05/07/2021,"4.9700","5.0600","4.9000","4.9300","8,679"
05/06/2021,"4.8300","4.9700","4.8000","4.9000","12,528"
05/05/2021,"5.0000","5.0800","4.7900","4.9000","32,055"
05/04/2021,"5.0000","5.1400","4.8500","4.9500","29,990"
05/03/2021,"5.3600","5.4600","5.0000","5.0000","48,216"
04/30/2021,"5.7900","5.7900","5.1500","5.4100","106,763"
04/29/2021,"5.8600","5.8700","5.6005","5.8100","17,446"
04/28/2021,"5.6310","5.8500","5.5900","5.8500","16,144"
04/27/2021,"5.6800","5.8000","5.5101","5.5700","15,519"
04/26/2021,"5.6100","5.8099","5.3800","5.6900","25,213"
04/23/2021,"5.5900","5.8612","5.4900","5.5150","23,882"
04/22/2021,"5.2300","5.6000","5.1701","5.4900","34,409"
04/21/2021,"5.1600","5.2567","5.0500","5.1500","33,875"
04/20/2021,"5.5500","5.5500","5.1601","5.1700","29,473"
04/19/2021,"5.6000","5.8600","5.4201","5.5900","18,185"
04/16/2021,"5.7900","5.8679","5.3701","5.5800","54,419"
04/15/2021,"6.0100","6.0100","5.5100","5.5200","24,185"
04/14/2021,"5.9300","6.0000","5.8600","5.9000","10,906"
04/13/2021,"5.9100","6.1999","5.8100","5.8500","27,656"
04/12/2021,"6.1800","6.2906","5.9000","5.9900","30,489"
04/09/2021,"6.3200","6.3400","6.1200","6.1700","23,123"
04/08/2021,"6.2400","6.4200","6.2000","6.3100","23,055"
04/07/2021,"6.3100","6.4200","6.1529","6.3200","78,299"
04/06/2021,"6.2500","6.4360","5.9100","6.1100","191,040"
04/05/2021,"5.7700","6.4699","5.7075","6.3500","104,941"
04/01/2021,"5.7600","5.8000","5.6500","5.7300","22,865"
03/31/2021,"5.7980","5.7980","5.6217","5.7300","44,401"
03/30/2021,"5.3600","5.7200","5.3100","5.7000","56,085"
03/29/2021,"5.3300","5.6481","5.3000","5.4600","77,758"
03/26/2021,"5.2900","5.4900","5.1801","5.3000","22,070"
03/25/2021,"5.0000","5.2500","4.9500","5.2300","36,249"
03/24/2021,"5.2800","5.5300","5.0092","5.1000","75,485"
03/23/2021,"5.5400","5.6100","5.2600","5.3000","39,918"
03/22/2021,"5.7600","5.8800","5.4200","5.4200","86,716"
03/19/2021,"5.7500","6.1500","5.6070","5.7300","118,832"
03/18/2021,"6.0300","6.0600","5.6400","5.6400","68,760"
03/17/2021,"6.1800","6.4600","6.0600","6.1600","54,122"
03/16/2021,"6.3300","6.3800","6.1100","6.3600","32,864"
03/15/2021,"6.6500","6.6600","6.1600","6.3000","151,615"
03/12/2021,"6.6000","6.7800","6.5000","6.5900","32,130"
03/11/2021,"6.0400","7.0199","5.9260","6.8000","194,414"
03/10/2021,"5.9200","6.3000","5.8700","6.1600","55,628"
03/09/2021,"5.2600","5.9800","5.1801","5.8700","230,971"
03/08/2021,"5.1900","5.3799","5.0300","5.1300","58,148"
03/05/2021,"5.3600","5.4500","4.6400","5.0100","151,108"
03/04/2021,"5.7500","5.8099","4.6000","5.3800","332,484"
03/03/2021,"6.2690","6.3400","5.7700","5.8600","175,298"
03/02/2021,"6.4500","6.4999","6.2700","6.2700","42,855"
03/01/2021,"6.2100","6.5600","6.2100","6.5500","56,115"
02/26/2021,"6.3000","6.5900","6.1100","6.1900","76,628"
02/25/2021,"6.8500","7.0560","6.0900","6.3400","137,764"
02/24/2021,"6.8800","7.1000","6.7500","6.8400","40,934"
02/23/2021,"7.3800","7.3800","6.6300","6.7500","139,327"
