Date,Open,High,Low,Close,Volume
08/20/2021,"3.8800","4.2000","3.8625","4.0100","120,513"
08/19/2021,"4.0900","4.2408","3.8701","3.9000","101,178"
08/18/2021,"4.1300","4.3873","3.8500","4.1500","208,882"
08/17/2021,"3.8700","4.2400","3.8301","4.0400","64,777"
08/16/2021,"4.1100","4.2877","3.8500","3.8500","73,138"
08/13/2021,"4.1560","4.2630","4.0930","4.1100","27,596"
08/12/2021,"4.4719","4.5000","4.0819","4.1800","172,451"
08/11/2021,"4.3500","4.5900","4.3000","4.4800","83,023"
08/10/2021,"4.5000","4.6587","4.1922","4.3500","35,701"
08/09/2021,"4.5000","4.6000","4.3201","4.4100","54,420"
08/06/2021,"4.2301","4.7299","4.2301","4.4700","44,164"
08/05/2021,"4.3100","4.7599","4.2000","4.4900","87,420"
08/04/2021,"4.2800","4.8899","4.1300","4.3800","53,567"
08/03/2021,"4.4600","4.9900","4.3600","4.5000","96,712"
08/02/2021,"4.3800","4.6899","4.3600","4.5300","8,071"
07/30/2021,"4.6350","4.7100","4.5100","4.5900","26,284"
07/29/2021,"4.0200","4.9500","4.0200","4.5900","73,785"
07/28/2021,"4.2200","4.2800","3.9283","4.0200","46,480"
07/27/2021,"4.6500","4.6500","4.1800","4.1900","58,384"
07/26/2021,"4.7490","4.8500","4.6100","4.6500","16,606"
07/23/2021,"4.9200","5.1200","4.7600","4.7600","128,638"
07/22/2021,"5.0540","5.0540","4.8400","4.8400","15,148"
07/21/2021,"5.1500","5.1500","4.8000","4.8300","26,932"
07/20/2021,"4.9200","4.9200","4.7300","4.8100","28,318"
07/19/2021,"5.1200","5.1400","4.8700","4.9000","39,481"
07/16/2021,"5.2600","5.2600","5.1000","5.1100","16,112"
07/15/2021,"5.3500","5.3500","5.2000","5.2100","11,331"
07/14/2021,"5.3700","5.7000","5.2687","5.3850","67,641"
07/13/2021,"5.3600","6.1899","5.1200","5.3700","157,787"
07/12/2021,"5.3100","5.4600","5.2242","5.4500","13,377"
07/09/2021,"5.0800","5.4400","5.0800","5.2600","15,799"
07/08/2021,"5.0700","5.3100","5.0700","5.2600","11,983"
07/07/2021,"5.2400","5.3100","5.0355","5.2300","20,311"
07/06/2021,"5.3500","5.4800","5.2200","5.2800","35,906"
07/02/2021,"5.4000","5.4300","5.1900","5.4300","18,765"
07/01/2021,"5.4100","5.5400","5.2000","5.3900","21,804"
06/30/2021,"5.6100","5.6200","5.4301","5.4400","14,644"
06/29/2021,"5.8800","5.8800","5.4300","5.7100","40,083"
06/28/2021,"5.3600","5.8800","5.3600","5.8300","86,095"
06/25/2021,"5.4200","5.7900","5.3300","5.4100","103,352"
06/24/2021,"5.2600","5.7700","5.2400","5.3400","98,334"
06/23/2021,"5.0800","5.3700","4.9200","5.3000","33,798"
06/22/2021,"5.1100","5.2099","4.9600","5.1000","55,911"
06/21/2021,"5.5000","5.5000","5.1300","5.1300","56,084"
06/18/2021,"4.7600","5.4593","4.7100","5.3400","405,250"
06/17/2021,"4.5900","4.9199","4.5900","4.7900","50,482"
06/16/2021,"4.8500","4.8500","4.5000","4.6200","97,748"
06/15/2021,"5.0400","5.0400","4.7800","4.9000","61,567"
06/14/2021,"5.0000","5.1200","4.7535","5.0350","60,794"
06/11/2021,"4.8035","5.3999","4.7000","4.9800","294,974"
06/10/2021,"4.3800","6.4900","4.3800","4.9000","1,812,801"
06/09/2021,"4.2000","4.3900","4.2000","4.3300","30,287"
06/08/2021,"4.3400","4.3500","4.1967","4.2000","19,584"
06/07/2021,"4.1800","4.3900","4.1301","4.3300","58,091"
06/04/2021,"4.1300","4.1630","4.0000","4.0300","75,272"
06/03/2021,"4.0270","4.1400","4.0000","4.0800","15,539"
06/02/2021,"4.0500","4.1700","4.0000","4.0000","17,330"
06/01/2021,"4.0800","4.3650","4.0300","4.1000","23,844"
05/28/2021,"4.6500","4.6500","3.9000","4.0000","97,537"
05/27/2021,"4.3100","4.6400","4.1600","4.5100","36,491"
05/26/2021,"4.1000","4.9400","3.9050","4.3600","174,038"
05/25/2021,"3.8500","4.1550","3.7600","4.1400","43,087"
05/24/2021,"3.8200","3.8800","3.7190","3.7850","18,304"
