Date,Open,High,Low,Close,Volume
08/30/2021,"6.81","6.89","6.38","6.48","77,937"
08/27/2021,"6.20","7.15","6.01","6.90","275,762"
08/26/2021,"7.13","7.15","5.91","6.17","480,028"
08/25/2021,"7.36","7.38","7.05","7.23","21,158"
08/24/2021,"6.51","7.34","6.51","7.24","76,905"
08/23/2021,"6.26","6.52","6.23","6.48","17,560"
08/20/2021,"6.14","6.37","6.14","6.24","26,242"
08/19/2021,"6.26","6.32","6.10","6.19","24,659"
08/18/2021,"6.38","6.38","6.18","6.25","21,009"
08/17/2021,"6.56","6.67","6.11","6.31","50,512"
08/16/2021,"6.65","6.71","6.46","6.59","33,075"
08/13/2021,"7.00","7.24","6.70","6.70","26,528"
08/12/2021,"7.25","7.35","7.03","7.03","12,823"
08/11/2021,"7.30","7.40","7.23","7.32","23,713"
08/10/2021,"7.40","7.41","7.21","7.38","19,103"
08/09/2021,"7.24","7.66","7.12","7.45","39,558"
08/06/2021,"7.11","7.18","7.01","7.08","22,408"
08/05/2021,"7.21","7.21","6.97","7.09","19,429"
08/04/2021,"7.00","7.14","6.85","7.11","29,758"
08/03/2021,"7.06","7.06","6.76","6.96","30,114"
08/02/2021,"7.09","7.09","6.92","6.96","22,095"
07/30/2021,"6.91","7.08","6.91","6.94","51,946"
07/29/2021,"7.22","7.47","6.90","6.95","22,627"
07/28/2021,"6.90","7.36","6.87","7.30","34,967"
07/27/2021,"7.22","7.22","6.88","6.94","16,968"
07/26/2021,"7.45","7.56","7.18","7.18","28,631"
07/23/2021,"7.44","7.59","7.31","7.47","14,547"
07/22/2021,"7.60","7.76","7.22","7.43","35,851"
07/21/2021,"7.56","7.95","7.42","7.45","48,496"
07/20/2021,"7.83","7.83","7.46","7.61","16,505"
07/19/2021,"7.88","7.97","7.37","7.46","32,572"
07/16/2021,"7.92","8.10","7.68","7.68","23,248"
07/15/2021,"8.02","8.14","7.72","7.85","27,256"
07/14/2021,"8.41","8.41","8.00","8.16","22,746"
07/13/2021,"8.55","8.78","8.30","8.35","23,216"
07/12/2021,"8.25","8.68","8.03","8.63","71,739"
07/09/2021,"8.04","8.43","8.04","8.14","33,877"
07/08/2021,"8.50","8.50","7.95","8.04","99,836"
07/07/2021,"8.97","9.24","8.49","8.62","60,352"
07/06/2021,"9.84","9.99","9.00","9.00","71,742"
07/02/2021,"9.45","9.85","9.37","9.83","88,289"
07/01/2021,"9.46","9.62","9.41","9.41","29,587"
06/30/2021,"9.85","9.85","9.24","9.55","30,508"
06/29/2021,"9.78","9.83","9.58","9.81","42,677"
06/28/2021,"9.31","9.50","9.14","9.47","27,178"
06/25/2021,"9.88","9.96","9.06","9.31","57,216"
06/24/2021,"10.03","10.24","9.60","9.72","52,736"
06/23/2021,"10.33","10.79","9.74","9.99","27,806"
06/22/2021,"9.73","10.33","9.54","10.33","32,645"
06/21/2021,"10.11","10.11","9.54","9.79","46,395"
06/18/2021,"10.05","10.13","9.76","10.06","21,240"
06/17/2021,"9.93","10.20","9.78","10.05","29,311"
06/16/2021,"10.71","10.71","9.80","10.05","82,919"
06/15/2021,"11.34","11.34","10.55","10.88","27,596"
06/14/2021,"11.45","11.45","10.41","11.00","65,854"
06/11/2021,"11.69","11.93","11.34","11.50","75,816"
06/10/2021,"10.68","11.99","10.53","11.52","123,431"
06/09/2021,"11.59","11.87","10.53","10.53","106,104"
06/08/2021,"10.50","11.85","10.50","11.78","263,287"
06/07/2021,"9.90","10.30","9.72","10.30","94,578"
06/04/2021,"10.20","10.35","9.08","9.68","111,951"
06/03/2021,"9.60","10.10","9.09","10.09","295,428"
06/02/2021,"7.60","10.50","7.53","10.00","1,363,610"
06/01/2021,"7.63","7.71","7.38","7.60","80,627"
05/28/2021,"6.95","7.42","6.87","7.37","75,768"
05/27/2021,"6.64","6.90","6.64","6.86","32,051"
05/26/2021,"6.63","6.80","6.46","6.62","51,530"
05/25/2021,"6.88","6.88","6.45","6.72","61,776"
05/24/2021,"6.96","6.96","6.71","6.88","22,784"
