Date,Open,High,Low,Close,Volume
08/20/2021,"13.60","13.60","12.88","13.27","107,117"
08/19/2021,"13.52","14.30","13.41","13.59","129,037"
08/18/2021,"13.38","14.53","13.01","14.03","87,991"
08/17/2021,"12.20","13.61","11.78","13.40","216,092"
08/16/2021,"14.06","14.06","12.11","12.24","101,480"
08/13/2021,"13.89","14.97","12.82","14.14","142,750"
08/12/2021,"13.27","13.89","12.60","13.83","195,546"
08/11/2021,"12.87","13.72","12.40","13.25","145,380"
08/10/2021,"13.63","13.93","12.90","12.95","141,464"
08/09/2021,"13.56","14.15","13.20","13.95","71,478"
08/06/2021,"13.08","13.86","13.00","13.50","81,809"
08/05/2021,"12.81","13.73","12.80","13.35","111,650"
08/04/2021,"12.25","13.02","12.08","12.81","64,583"
08/03/2021,"12.55","12.98","12.01","12.25","107,773"
08/02/2021,"12.87","13.43","12.17","12.45","80,561"
07/30/2021,"13.16","13.54","12.42","12.52","53,268"
07/29/2021,"13.87","14.14","13.15","13.62","88,608"
07/28/2021,"12.77","14.19","12.23","13.78","171,804"
07/27/2021,"12.67","13.11","12.03","12.73","217,039"
07/26/2021,"12.83","13.84","12.38","12.92","280,012"
07/23/2021,"14.14","14.41","12.97","13.00","250,326"
07/22/2021,"14.90","14.97","13.98","14.09","118,139"
07/21/2021,"14.82","15.32","14.82","14.96","77,647"
07/20/2021,"15.39","15.99","14.67","14.76","97,850"
07/19/2021,"15.25","15.75","14.65","15.46","83,812"
07/16/2021,"15.77","16.49","15.35","15.69","78,492"
07/15/2021,"15.69","15.85","14.68","15.44","156,174"
07/14/2021,"17.00","17.12","15.49","15.72","160,866"
07/13/2021,"18.16","18.16","16.78","16.84","132,910"
07/12/2021,"19.18","19.59","17.81","18.22","106,328"
07/09/2021,"19.97","19.97","18.86","19.18","102,013"
07/08/2021,"18.01","20.50","17.53","19.79","130,893"
07/07/2021,"19.04","19.04","17.31","18.15","103,992"
07/06/2021,"20.40","20.85","18.91","19.10","151,441"
07/02/2021,"20.20","20.90","19.55","20.38","88,118"
07/01/2021,"18.83","20.15","18.36","20.06","141,853"
06/30/2021,"19.43","19.78","18.64","18.65","229,486"
06/29/2021,"20.46","21.69","19.23","19.53","118,588"
06/28/2021,"21.31","21.39","20.11","20.33","263,078"
06/25/2021,"19.94","23.54","19.77","21.30","773,761"
06/24/2021,"20.27","21.17","19.75","20.03","92,157"
06/23/2021,"20.20","20.94","19.62","20.10","79,782"
06/22/2021,"21.31","21.31","19.91","20.31","78,126"
06/21/2021,"20.85","21.76","20.30","21.32","68,168"
06/18/2021,"20.90","20.97","20.15","20.86","59,955"
06/17/2021,"20.72","22.16","20.40","21.19","64,444"
06/16/2021,"21.73","21.78","20.50","20.88","55,085"
06/15/2021,"22.12","22.43","21.42","21.71","81,689"
06/14/2021,"21.06","22.96","21.06","22.31","82,850"
06/11/2021,"22.42","22.42","20.92","21.27","71,639"
06/10/2021,"21.00","22.95","20.56","22.27","103,381"
06/09/2021,"19.12","21.44","19.12","20.86","134,496"
06/08/2021,"19.09","19.81","18.55","18.92","157,703"
06/07/2021,"20.11","20.70","18.72","19.15","320,794"
06/04/2021,"20.00","20.93","19.67","20.42","109,716"
06/03/2021,"19.77","20.17","18.56","19.90","89,827"
06/02/2021,"20.57","20.90","19.13","19.78","99,926"
06/01/2021,"21.37","21.48","20.01","20.55","85,751"
05/28/2021,"20.86","21.79","20.51","21.10","69,296"
05/27/2021,"21.23","21.23","20.32","20.54","85,112"
05/26/2021,"20.21","21.59","19.53","21.02","96,691"
05/25/2021,"20.48","20.50","19.25","19.83","69,116"
05/24/2021,"21.63","22.97","19.70","20.13","123,654"
05/21/2021,"22.05","23.79","21.01","21.58","148,906"
05/20/2021,"20.74","22.10","20.65","21.60","124,091"
05/19/2021,"22.40","22.50","19.81","20.60","222,758"
05/18/2021,"19.30","23.96","19.01","22.56","430,246"
05/17/2021,"19.60","21.60","18.53","19.15","147,592"
05/14/2021,"19.88","21.21","18.11","19.50","308,409"
05/13/2021,"21.73","22.98","18.69","19.70","139,965"
05/12/2021,"23.01","23.64","21.27","21.30","72,083"
05/11/2021,"22.04","24.05","21.85","23.58","83,705"
05/10/2021,"24.36","24.36","21.94","22.19","103,225"
05/07/2021,"24.83","26.03","23.61","24.53","125,152"
05/06/2021,"26.51","26.51","23.01","23.64","104,895"
05/05/2021,"25.31","29.20","25.31","26.87","141,994"
05/04/2021,"28.61","28.61","25.26","25.41","92,647"
05/03/2021,"28.23","29.99","27.39","29.03","74,477"
04/30/2021,"28.99","31.19","27.22","28.18","97,479"
04/29/2021,"28.97","31.20","28.19","29.67","80,259"
04/28/2021,"28.57","29.41","27.45","28.73","63,242"
04/27/2021,"29.14","29.29","28.21","28.96","52,677"
04/26/2021,"30.04","30.15","28.49","28.90","58,581"
04/23/2021,"30.02","31.56","29.23","29.75","80,603"
04/22/2021,"27.48","30.37","26.75","29.70","93,978"
04/21/2021,"27.01","28.96","26.83","27.33","140,349"
04/20/2021,"28.46","29.61","25.62","27.25","164,602"
04/19/2021,"29.70","31.41","28.24","28.56","59,438"
04/16/2021,"31.91","31.91","28.33","30.10","151,379"
04/15/2021,"33.74","33.74","30.49","31.50","119,794"
04/14/2021,"29.39","34.44","29.22","33.72","158,231"
