Date,Open,High,Low,Close,Volume
08/11/2021,"4.8000","4.8650","4.5000","4.6100","299,027"
08/10/2021,"4.9900","5.3000","4.7600","4.8400","889,505"
08/09/2021,"4.7200","5.1490","4.6501","4.8250","496,197"
08/06/2021,"4.6800","4.9000","4.6000","4.6900","205,469"
08/05/2021,"4.4900","4.8745","4.4900","4.5800","308,003"
08/04/2021,"4.3935","4.6300","4.3935","4.5500","149,231"
08/03/2021,"4.5700","4.6400","4.3500","4.5100","285,805"
08/02/2021,"4.4800","4.7000","4.3400","4.6700","285,420"
07/30/2021,"4.5800","4.9500","4.4200","4.4500","651,144"
07/29/2021,"4.4000","4.7300","4.3100","4.5100","683,810"
07/28/2021,"4.5000","4.6900","4.2700","4.3900","632,930"
07/27/2021,"4.1600","5.3000","4.1600","4.4800","2,116,778"
07/26/2021,"4.0300","6.0300","3.9600","4.3200","7,386,713"
07/23/2021,"4.4000","4.6800","4.0985","4.1400","424,424"
07/22/2021,"4.7000","4.7500","4.3800","4.4600","458,253"
07/21/2021,"5.1500","5.2500","4.7000","4.8100","585,751"
07/20/2021,"4.8000","5.2492","4.7500","5.0800","951,697"
07/19/2021,"5.0000","5.3500","4.5200","4.7300","814,806"
07/16/2021,"5.2100","5.7500","5.0500","5.2000","1,341,651"
07/15/2021,"7.6400","7.6400","4.8000","5.6400","9,291,066"
07/14/2021,"5.2800","8.0000","4.9600","7.3800","44,984,281"
07/13/2021,"5.1300","7.2700","4.6700","5.6500","16,133,810"
07/12/2021,"4.2800","4.5175","4.2200","4.5000","563,117"
07/09/2021,"4.6500","4.6500","4.2700","4.4200","415,069"
07/08/2021,"4.4300","4.8700","4.2301","4.5400","1,469,416"
07/07/2021,"4.5900","8.4900","4.3700","5.1800","33,345,762"
07/06/2021,"4.6500","4.9900","4.5500","4.5500","477,563"
07/02/2021,"4.5100","4.9800","4.1900","4.7800","1,079,249"
07/01/2021,"4.8481","5.1500","4.1278","4.6800","2,050,680"
06/30/2021,"4.1000","4.8100","4.0500","4.5500","2,363,937"
06/29/2021,"4.0000","4.3700","3.9900","4.1700","474,141"
06/28/2021,"4.0400","4.0751","3.9000","3.9500","229,636"
06/25/2021,"4.0200","4.1300","3.9100","3.9100","179,425"
06/24/2021,"3.9000","4.2900","3.8800","3.9500","572,398"
06/23/2021,"3.8400","3.9600","3.8050","3.8800","172,187"
06/22/2021,"3.8900","4.0400","3.7000","3.8400","495,334"
06/21/2021,"3.9000","4.6200","3.8600","3.9000","1,752,345"
06/18/2021,"4.0600","4.1400","3.8700","3.8700","171,996"
06/17/2021,"4.1100","4.3300","4.0500","4.0500","202,618"
06/16/2021,"4.1000","4.4900","4.0000","4.0800","854,978"
06/15/2021,"4.1900","4.3134","3.9500","4.0500","339,654"
06/14/2021,"4.5100","4.5600","4.2100","4.2100","188,330"
06/11/2021,"4.6700","5.0000","4.4100","4.5000","446,808"
06/10/2021,"4.7900","7.2300","4.5000","4.7500","4,765,206"
06/09/2021,"4.6200","4.8700","4.5338","4.7031","88,885"
06/08/2021,"4.5700","4.8000","4.4100","4.6800","82,610"
06/07/2021,"4.8800","4.8800","4.5500","4.6200","59,172"
06/04/2021,"4.4000","4.9800","4.4000","4.8800","257,606"
06/03/2021,"4.2500","4.4500","4.2100","4.4000","49,280"
06/02/2021,"4.3300","4.3600","4.2000","4.2450","45,855"
06/01/2021,"4.3100","4.5100","4.2001","4.2500","45,460"
05/28/2021,"4.5900","4.7000","4.2000","4.3100","103,700"
05/27/2021,"4.8400","4.8400","4.5000","4.5900","198,490"
05/26/2021,"4.3760","5.2200","4.2649","5.1400","715,312"
05/25/2021,"3.9800","4.7500","3.9500","4.4100","360,159"
05/24/2021,"4.0975","4.1108","3.9900","4.0000","12,366"
05/21/2021,"4.1400","4.1500","3.9800","4.1500","31,710"
05/20/2021,"3.9900","4.1600","3.9184","4.1000","55,343"
05/19/2021,"3.9300","4.1000","3.8800","3.9900","22,105"
05/18/2021,"4.1300","4.1300","3.8600","4.0500","45,227"
05/17/2021,"3.8100","4.7300","3.7900","4.1100","680,882"
05/14/2021,"3.8500","3.9200","3.8100","3.8900","21,768"
05/13/2021,"3.9000","3.9500","3.8000","3.8500","25,656"
05/12/2021,"4.0000","4.0000","3.8800","3.9500","6,040"
05/11/2021,"3.9400","3.9800","3.8500","3.9800","20,541"
05/10/2021,"4.0500","4.0500","3.8700","4.0500","20,346"
05/07/2021,"3.8900","4.1900","3.8200","4.0600","120,573"
05/06/2021,"4.0000","4.0100","3.8601","3.8900","24,765"
05/05/2021,"4.0400","4.0700","3.9600","3.9700","11,708"
05/04/2021,"4.1193","4.1193","3.9900","4.0600","18,075"
05/03/2021,"4.1200","4.1886","4.0270","4.1300","42,151"
04/30/2021,"4.0760","4.0900","3.8500","3.9700","33,744"
04/29/2021,"4.1600","4.1600","4.0700","4.1100","17,965"
04/28/2021,"4.1600","4.2500","4.1367","4.1500","28,165"
04/27/2021,"4.2400","4.3100","4.2000","4.2000","13,867"
04/26/2021,"4.3900","4.4400","4.2200","4.2700","33,319"
04/23/2021,"4.1000","4.3400","4.1000","4.2900","16,126"
04/22/2021,"4.1000","4.2150","4.1000","4.1100","30,173"
04/21/2021,"4.1100","4.1300","4.0300","4.0900","27,271"
04/20/2021,"4.1900","4.2500","4.0100","4.0100","25,912"
04/19/2021,"4.1900","4.3099","3.9600","4.2600","120,546"
04/16/2021,"4.5100","4.6000","4.2200","4.3200","132,293"
04/15/2021,"4.6200","4.6200","4.4000","4.5000","82,942"
04/14/2021,"4.7100","4.7200","4.5500","4.6200","38,550"
04/13/2021,"4.7600","4.7800","4.7000","4.7299","36,153"
04/12/2021,"4.8500","5.0500","4.7500","4.7800","85,144"
04/09/2021,"4.8091","5.1497","4.7900","4.8600","300,441"
04/08/2021,"4.6300","6.0000","4.5000","6.0000","1,529,821"
04/07/2021,"4.7150","4.7700","4.6000","4.6210","56,161"
04/06/2021,"4.9800","4.9800","4.6300","4.7300","133,598"
04/05/2021,"4.9900","6.0900","4.9700","5.0900","1,152,396"
04/01/2021,"4.7500","4.9900","4.7000","4.9400","64,912"
03/31/2021,"4.8400","4.9166","4.6000","4.7100","97,703"
03/30/2021,"4.6700","5.0300","4.6100","4.8000","209,541"
03/29/2021,"4.4200","5.7800","4.4200","4.7500","1,858,596"
03/26/2021,"4.4000","4.7900","4.4000","4.5400","49,736"
03/25/2021,"4.5400","4.5500","4.2800","4.3900","110,626"
03/24/2021,"5.1000","5.1500","4.7500","4.7500","133,182"
03/23/2021,"5.0700","5.4000","5.0400","5.1300","64,486"
03/22/2021,"5.3700","5.4472","5.0500","5.0700","327,737"
03/19/2021,"5.5100","5.6400","5.2300","5.3000","69,222"
03/18/2021,"5.5000","5.6900","5.4200","5.4700","46,316"
03/17/2021,"5.5500","5.7000","5.4500","5.4997","106,504"
03/16/2021,"6.2300","6.2500","5.5200","5.6100","154,499"
03/15/2021,"5.6700","6.3401","5.6700","6.1100","303,226"
03/12/2021,"5.0500","5.6000","5.0300","5.6000","170,174"
03/11/2021,"5.0000","5.1004","4.9600","5.0400","51,318"
03/10/2021,"5.1100","5.2500","4.9400","5.0000","85,684"
03/09/2021,"5.1300","5.1302","4.9300","5.0000","53,892"
03/08/2021,"5.0400","5.1400","4.8700","5.0000","25,522"
03/05/2021,"5.0200","5.1000","4.7200","4.9300","101,725"
03/04/2021,"5.5100","5.6000","4.8700","5.0000","83,048"
03/03/2021,"5.6300","5.6900","5.5100","5.6350","26,412"
03/02/2021,"5.9300","5.9599","5.5100","5.5100","57,319"
03/01/2021,"5.5900","5.8000","5.4200","5.7800","35,174"
02/26/2021,"5.6000","5.8000","5.2500","5.3900","74,571"
02/25/2021,"5.8600","5.9800","5.6200","5.6200","36,066"
02/24/2021,"5.7000","5.9600","5.6000","5.8900","67,415"
