Date,Open,High,Low,Close,Volume
08/30/2021,"26.31","26.31","25.18","25.44","100,195"
08/27/2021,"24.87","27.32","24.87","26.07","211,947"
08/26/2021,"25.29","25.50","24.70","25.08","158,453"
08/25/2021,"23.98","25.27","23.36","25.18","128,889"
08/24/2021,"24.62","25.44","24.02","24.19","228,704"
08/23/2021,"22.98","25.66","22.98","24.38","404,816"
08/20/2021,"21.60","23.36","21.56","22.92","670,072"
08/19/2021,"23.32","24.31","21.41","21.53","867,660"
08/18/2021,"25.00","25.25","23.09","23.79","632,837"
08/17/2021,"25.80","26.79","24.83","25.33","285,282"
08/16/2021,"28.53","29.65","25.82","25.89","634,972"
08/13/2021,"28.74","29.29","28.06","29.28","368,820"
08/12/2021,"27.76","28.90","26.87","28.75","277,077"
08/11/2021,"29.28","29.68","27.00","28.05","535,435"
08/10/2021,"32.70","33.36","29.10","29.68","651,345"
08/09/2021,"30.96","32.42","30.71","32.25","952,369"
08/06/2021,"30.52","31.55","29.53","30.50","516,034"
08/05/2021,"29.57","31.17","29.32","30.15","779,872"
08/04/2021,"25.66","29.62","25.40","29.13","937,708"
08/03/2021,"25.50","26.19","24.81","25.69","235,310"
08/02/2021,"25.00","26.48","24.71","25.66","296,351"
07/30/2021,"24.62","25.44","24.15","24.50","166,829"
07/29/2021,"24.24","25.50","24.06","24.90","285,063"
07/28/2021,"23.49","24.48","23.33","24.48","330,080"
07/27/2021,"24.00","24.20","23.04","23.91","576,197"
07/26/2021,"25.34","25.34","24.00","24.12","596,813"
07/23/2021,"26.75","27.43","24.61","25.38","542,480"
07/22/2021,"21.40","26.74","21.25","26.00","2,149,120"
07/21/2021,"25.10","25.85","22.10","22.18","10,455,880"
