Date,Open,High,Low,Close,Volume
08/20/2021,"16.06","16.06","15.94","16.00","709"
08/19/2021,"15.18","17.09","15.18","16.49","2,204"
08/18/2021,"17.10","17.10","16.55","16.72","36,245"
08/17/2021,"16.50","17.10","16.50","17.10","823"
08/16/2021,"17.46","17.46","17.46","17.46","643"
08/13/2021,"17.21","17.21","17.21","17.21","2,026"
08/12/2021,"17.37","17.40","17.37","17.40","492"
08/11/2021,"17.86","17.86","17.86","17.86","126"
08/10/2021,"17.86","17.86","17.86","17.86","2,056"
08/09/2021,"16.99","17.69","16.77","17.60","3,510"
08/06/2021,"17.32","17.32","16.65","17.01","1,117"
08/05/2021,"17.25","17.25","17.25","17.25","69"
08/04/2021,"17.30","17.30","16.65","17.25","7,335"
08/03/2021,"17.67","17.67","17.05","17.17","1,356"
08/02/2021,"16.81","18.30","16.12","17.59","15,543"
07/30/2021,"17.21","17.50","16.51","17.50","4,330"
07/29/2021,"18.48","18.48","18.48","18.48","2,196"
07/28/2021,"17.29","17.50","16.65","17.50","2,858"
07/27/2021,"17.21","17.49","16.01","17.40","2,435"
07/26/2021,"17.31","17.50","17.13","17.50","8,757"
07/23/2021,"17.12","17.89","16.18","17.64","1,974"
07/22/2021,"17.39","18.08","16.46","17.50","3,457"
07/21/2021,"17.26","17.50","16.16","17.50","4,045"
07/20/2021,"16.98","17.25","16.98","17.24","1,523"
07/19/2021,"16.25","16.50","16.25","16.45","814"
07/16/2021,"16.12","16.49","15.17","16.39","6,543"
07/15/2021,"16.02","16.90","16.01","16.30","10,163"
07/14/2021,"16.27","16.27","16.27","16.27","585"
07/13/2021,"16.82","16.82","16.00","16.00","8,041"
07/12/2021,"16.84","16.84","16.84","16.84","154"
07/09/2021,"16.82","16.99","16.82","16.84","716"
07/08/2021,"17.50","17.50","17.50","17.50","424"
07/07/2021,"17.24","17.25","17.12","17.12","4,009"
07/06/2021,"17.15","17.50","17.15","17.29","2,858"
07/02/2021,"17.20","17.49","17.18","17.35","1,784"
07/01/2021,"17.21","17.21","17.21","17.21","336"
06/30/2021,"17.20","17.21","16.82","17.20","12,880"
06/29/2021,"16.72","17.46","16.72","17.20","33,411"
06/28/2021,"17.49","17.87","16.43","16.43","18,118"
06/25/2021,"17.90","17.90","17.12","17.80","35,804"
06/24/2021,"17.73","17.91","17.44","17.80","17,129"
