Date,Open,High,Low,Close,Volume
08/30/2021,"5.13","5.45","4.98","5.23","643,772"
08/27/2021,"5.05","5.29","4.73","5.28","1,775,077"
08/26/2021,"5.31","5.55","4.98","5.10","1,535,728"
08/25/2021,"5.38","5.50","4.98","5.09","2,312,590"
08/24/2021,"5.40","5.55","4.90","5.47","8,159,595"
08/23/2021,"6.52","7.09","5.35","5.90","172,885,297"
08/20/2021,"3.49","4.12","3.41","3.84","759,249"
08/19/2021,"3.41","3.99","3.34","3.52","684,926"
08/18/2021,"3.07","3.47","3.02","3.41","605,540"
08/17/2021,"2.82","3.80","2.82","3.37","1,301,406"
08/16/2021,"3.24","3.43","2.78","2.88","421,918"
08/13/2021,"2.80","3.78","2.71","3.27","3,199,680"
08/12/2021,"2.82","2.88","2.66","2.74","276,822"
08/11/2021,"2.84","2.86","2.75","2.82","144,144"
08/10/2021,"2.90","2.92","2.72","2.80","136,553"
08/09/2021,"2.94","3.05","2.81","2.86","281,832"
08/06/2021,"2.77","2.94","2.61","2.84","310,813"
08/05/2021,"2.84","2.91","2.68","2.72","332,705"
08/04/2021,"2.90","2.94","2.81","2.84","89,135"
08/03/2021,"3.05","3.08","2.76","2.89","379,158"
08/02/2021,"3.09","3.09","3.01","3.04","147,348"
07/30/2021,"3.08","3.17","3.01","3.02","233,324"
07/29/2021,"3.18","3.27","3.06","3.12","199,281"
07/28/2021,"3.65","3.66","3.00","3.13","855,957"
07/27/2021,"3.71","3.88","3.59","3.62","94,831"
07/26/2021,"3.99","4.00","3.71","3.73","99,537"
07/23/2021,"3.94","3.99","3.76","3.97","88,927"
07/22/2021,"4.12","4.12","3.67","3.90","284,341"
07/21/2021,"4.00","4.10","3.92","4.07","172,870"
07/20/2021,"3.96","4.05","3.92","4.00","121,762"
07/19/2021,"4.07","4.15","3.89","3.96","210,754"
07/16/2021,"4.28","4.28","4.05","4.06","81,577"
07/15/2021,"4.18","4.30","4.01","4.30","245,156"
07/14/2021,"4.49","4.57","4.18","4.23","205,893"
07/13/2021,"4.47","4.63","4.37","4.51","173,458"
07/12/2021,"4.63","4.64","4.35","4.52","202,116"
07/09/2021,"4.75","4.78","4.44","4.63","216,511"
07/08/2021,"4.84","4.97","4.64","4.90","751,562"
07/07/2021,"5.04","5.45","4.42","5.20","7,333,324"
07/06/2021,"4.48","4.60","4.21","4.21","178,925"
07/02/2021,"4.80","4.85","4.49","4.51","131,016"
07/01/2021,"4.95","4.95","4.76","4.79","44,289"
06/30/2021,"4.85","4.95","4.76","4.95","66,047"
06/29/2021,"4.99","4.99","4.82","4.83","98,032"
06/28/2021,"5.05","5.05","4.85","5.01","72,327"
06/25/2021,"4.99","5.07","4.87","4.99","104,692"
06/24/2021,"4.90","5.00","4.86","4.95","94,732"
06/23/2021,"4.98","5.07","4.88","4.90","92,309"
06/22/2021,"5.04","5.14","4.85","5.02","183,156"
06/21/2021,"5.03","5.44","4.91","5.06","149,328"
06/18/2021,"5.57","5.67","4.88","4.94","402,252"
06/17/2021,"5.44","5.69","5.44","5.68","118,314"
06/16/2021,"5.77","5.80","5.28","5.64","250,709"
06/15/2021,"5.98","5.98","5.74","5.81","67,992"
06/14/2021,"5.99","6.03","5.77","5.95","99,024"
06/11/2021,"5.97","6.09","5.73","5.95","87,671"
06/10/2021,"5.68","6.00","5.58","5.95","145,353"
06/09/2021,"5.45","5.80","5.45","5.70","108,880"
06/08/2021,"5.14","5.49","5.14","5.40","212,934"
06/07/2021,"5.20","5.32","5.08","5.09","145,961"
06/04/2021,"5.14","5.29","5.08","5.15","103,712"
06/03/2021,"5.00","5.27","4.88","5.09","282,404"
06/02/2021,"5.37","5.48","5.11","5.23","127,251"
06/01/2021,"5.29","5.42","5.28","5.32","79,316"
05/28/2021,"5.55","5.64","5.35","5.38","58,758"
05/27/2021,"5.57","5.60","5.46","5.54","65,678"
05/26/2021,"5.30","5.70","5.28","5.55","101,244"
05/25/2021,"5.67","5.67","5.20","5.25","116,380"
05/24/2021,"5.63","5.71","5.60","5.61","61,606"
05/21/2021,"5.70","5.72","5.53","5.67","82,474"
05/20/2021,"5.68","5.80","5.53","5.68","98,453"
05/19/2021,"5.75","5.75","5.50","5.63","110,545"
05/18/2021,"6.03","6.04","5.76","5.82","97,762"
05/17/2021,"5.95","6.10","5.95","6.06","41,691"
05/14/2021,"5.93","6.19","5.90","5.97","78,294"
05/13/2021,"6.18","6.18","5.90","5.92","104,562"
05/12/2021,"6.10","6.25","5.97","6.04","124,823"
05/11/2021,"6.40","6.40","6.10","6.19","102,159"
