Date,Open,High,Low,Close,Volume
08/20/2021,"16.00","16.49","15.85","16.18","718,038"
08/19/2021,"15.90","16.45","15.09","15.69","642,932"
08/18/2021,"14.50","15.94","14.50","15.86","831,412"
08/17/2021,"15.17","15.35","14.13","14.46","1,545,743"
08/16/2021,"15.54","15.85","15.05","15.49","1,200,510"
08/13/2021,"16.11","16.60","15.41","15.52","1,479,884"
08/12/2021,"17.28","17.55","15.61","15.71","2,152,594"
08/11/2021,"18.90","19.00","17.10","17.10","4,385,409"
08/10/2021,"20.19","20.44","18.83","19.09","2,112,876"
08/09/2021,"18.60","20.19","18.21","19.55","3,850,306"
08/06/2021,"19.46","19.75","17.50","18.07","5,130,599"
08/05/2021,"17.00","17.25","15.10","16.50","9,529,797"
