Date,Open,High,Low,Close,Volume
08/30/2021,"7.10","7.47","6.86","7.18","41,178,000"
08/27/2021,"6.71","7.17","6.68","6.94","30,969,020"
08/26/2021,"6.94","7.04","6.66","6.66","25,165,820"
08/25/2021,"7.01","7.20","6.86","6.98","34,615,539"
08/24/2021,"6.74","7.43","6.63","7.12","68,735,203"
08/23/2021,"6.59","6.81","6.42","6.69","25,371,391"
08/20/2021,"6.28","6.92","6.23","6.63","45,135,422"
08/19/2021,"6.74","6.82","6.14","6.23","56,256,941"
08/18/2021,"6.96","7.07","6.75","6.82","35,488,238"
08/17/2021,"6.69","7.31","6.57","6.95","52,501,898"
08/16/2021,"7.29","7.31","6.72","6.87","77,504,555"
08/13/2021,"6.96","7.86","6.69","7.55","220,813,297"
08/12/2021,"9.97","10.01","9.34","9.41","79,549,195"
08/11/2021,"10.37","10.42","9.67","9.83","31,979,010"
08/10/2021,"10.50","10.69","10.07","10.30","19,937,279"
08/09/2021,"9.90","10.61","9.89","10.47","27,930,350"
08/06/2021,"9.94","10.15","9.76","9.83","14,915,540"
08/05/2021,"9.67","10.02","9.47","9.98","18,122,080"
08/04/2021,"10.30","10.31","9.59","9.61","35,118,180"
08/03/2021,"10.36","10.50","10.15","10.31","20,492,230"
08/02/2021,"9.97","10.60","9.94","10.41","31,823,881"
07/30/2021,"9.79","10.27","9.73","9.94","24,573,170"
07/29/2021,"9.95","10.68","9.62","9.98","46,402,820"
07/28/2021,"9.43","10.13","9.38","9.94","31,968,900"
07/27/2021,"9.09","9.56","8.81","9.32","29,760,410"
07/26/2021,"9.10","9.45","9.07","9.16","21,763,789"
07/23/2021,"9.37","9.62","9.17","9.18","28,292,609"
07/22/2021,"9.92","10.07","9.45","9.50","30,294,609"
07/21/2021,"9.78","10.34","9.67","10.00","43,059,391"
07/20/2021,"9.52","10.21","9.28","10.14","44,581,594"
07/19/2021,"8.98","9.66","8.84","9.44","39,567,699"
07/16/2021,"10.18","10.18","9.16","9.27","56,226,566"
07/15/2021,"9.64","10.37","9.46","10.09","42,530,633"
07/14/2021,"10.35","10.57","9.74","9.78","49,509,113"
07/13/2021,"10.70","11.16","10.35","10.40","37,881,680"
07/12/2021,"11.17","11.37","10.78","10.91","38,740,566"
07/09/2021,"11.04","11.22","10.77","11.14","36,119,941"
07/08/2021,"10.44","11.23","10.25","11.00","59,124,340"
07/07/2021,"11.84","11.91","10.75","10.95","85,076,000"
07/06/2021,"12.32","12.60","11.75","11.89","74,437,281"
07/02/2021,"11.98","12.39","11.44","11.65","76,696,242"
07/01/2021,"13.00","13.09","11.95","12.24","101,847,508"
06/30/2021,"13.24","13.69","12.81","13.17","68,366,734"
06/29/2021,"14.24","14.29","13.27","13.40","102,428,602"
06/28/2021,"14.03","15.18","13.80","14.40","177,057,500"
06/25/2021,"14.17","14.69","13.70","14.04","141,520,188"
06/24/2021,"13.56","14.41","12.61","14.39","174,202,297"
06/23/2021,"13.80","14.28","13.12","13.61","143,136,406"
06/22/2021,"13.48","14.43","12.92","13.50","233,741,906"
06/21/2021,"12.02","13.96","11.51","13.50","335,602,500"
06/18/2021,"11.00","12.10","10.85","11.40","140,929,906"
06/17/2021,"11.17","11.50","10.75","11.23","78,317,352"
06/16/2021,"11.04","11.34","10.36","11.09","99,752,531"
06/15/2021,"11.75","12.54","10.79","11.27","140,925,297"
06/14/2021,"10.38","11.92","9.94","11.27","180,704,500"
06/11/2021,"10.81","10.90","9.71","10.00","86,156,367"
06/10/2021,"11.07","11.61","10.20","10.69","96,133,359"
06/09/2021,"14.67","15.00","10.25","10.60","310,735,812"
06/08/2021,"7.90","12.20","7.83","11.63","230,258,297"
06/07/2021,"7.68","7.95","7.52","7.76","41,338,859"
06/04/2021,"8.33","8.42","8.06","8.29","11,911,470"
06/03/2021,"8.39","8.75","8.25","8.28","19,797,990"
06/02/2021,"7.78","8.58","7.67","8.50","25,126,811"
06/01/2021,"8.01","8.01","7.66","7.74","17,546,141"
05/28/2021,"8.55","8.55","7.80","7.94","20,974,801"
05/27/2021,"8.13","8.81","8.00","8.35","22,293,699"
05/26/2021,"7.87","8.31","7.65","8.15","15,802,070"
05/25/2021,"8.21","8.28","7.70","7.84","20,910,730"
05/24/2021,"9.10","9.10","8.02","8.18","27,097,801"
05/21/2021,"9.24","9.43","9.12","9.32","3,673,436"
05/20/2021,"9.15","9.59","9.10","9.29","5,682,801"
05/19/2021,"8.57","9.16","8.45","9.12","7,215,690"
05/18/2021,"8.43","9.39","8.35","8.99","11,103,150"
05/17/2021,"9.57","9.60","8.52","8.78","15,123,250"
05/14/2021,"8.72","9.95","8.50","9.79","27,260,859"
05/13/2021,"10.01","10.15","7.95","8.11","42,715,688"
05/12/2021,"11.83","12.27","11.26","11.47","12,551,850"
05/11/2021,"11.18","12.13","11.08","11.78","6,461,255"
05/10/2021,"12.65","12.67","11.85","11.88","4,520,930"
05/07/2021,"12.90","13.30","12.29","12.61","4,251,528"
05/06/2021,"12.31","13.24","11.96","12.65","7,213,615"
05/05/2021,"13.66","13.73","12.40","12.58","5,014,535"
05/04/2021,"12.76","13.47","12.12","13.43","5,371,830"
05/03/2021,"13.92","13.94","12.92","13.08","4,663,628"
04/30/2021,"13.94","14.38","13.74","13.87","2,956,344"
04/29/2021,"15.44","15.45","14.13","14.16","4,171,489"
04/28/2021,"14.90","15.30","14.31","15.19","6,617,033"
04/27/2021,"14.94","15.22","14.42","15.12","9,221,147"
04/26/2021,"13.61","14.44","13.56","14.16","5,523,940"
04/23/2021,"13.33","13.67","13.09","13.54","3,345,908"
04/22/2021,"12.89","13.94","12.40","13.10","9,149,282"
