Date,Open,High,Low,Close,Volume
08/11/2021,"5.12","5.29","5.03","5.24","117,262"
08/10/2021,"5.30","5.36","5.05","5.07","129,244"
08/09/2021,"5.11","5.47","5.02","5.25","191,887"
08/06/2021,"5.08","5.31","4.86","5.07","209,506"
08/05/2021,"5.19","5.19","4.95","4.96","311,273"
08/04/2021,"5.28","5.37","5.11","5.19","181,545"
08/03/2021,"5.18","5.80","5.14","5.35","633,946"
08/02/2021,"5.27","5.39","5.21","5.23","105,932"
07/30/2021,"5.35","5.39","5.10","5.16","148,211"
07/29/2021,"5.37","5.58","5.30","5.42","158,943"
07/28/2021,"5.29","5.47","5.20","5.35","185,473"
07/27/2021,"5.38","5.40","5.08","5.13","234,276"
07/26/2021,"5.52","5.57","5.22","5.38","256,759"
07/23/2021,"6.04","6.20","5.50","5.58","614,462"
07/22/2021,"6.24","6.35","5.99","6.27","167,674"
07/21/2021,"6.08","6.37","6.00","6.34","272,469"
07/20/2021,"5.79","6.15","5.62","6.02","378,805"
07/19/2021,"5.50","6.13","5.44","6.01","473,066"
07/16/2021,"5.97","6.00","5.66","5.72","269,200"
07/15/2021,"6.10","6.32","5.82","5.92","361,437"
07/14/2021,"6.32","6.43","6.02","6.03","356,782"
07/13/2021,"6.43","6.59","6.26","6.30","230,800"
07/12/2021,"6.81","6.82","6.36","6.41","269,902"
07/09/2021,"6.72","6.85","6.40","6.75","509,347"
07/08/2021,"6.45","6.79","6.25","6.58","475,266"
07/07/2021,"7.17","7.38","6.53","6.65","611,480"
07/06/2021,"7.70","7.76","6.94","7.23","1,066,490"
07/02/2021,"7.82","8.14","7.50","7.99","1,617,530"
07/01/2021,"8.59","9.80","7.53","8.20","22,939,410"
06/30/2021,"6.81","6.89","6.57","6.60","654,604"
06/29/2021,"7.34","7.50","6.77","6.91","947,585"
06/28/2021,"7.22","8.39","6.95","7.23","3,304,960"
06/25/2021,"6.75","7.98","6.71","7.40","5,028,734"
06/24/2021,"6.52","6.65","6.38","6.65","296,935"
06/23/2021,"6.18","6.65","6.18","6.43","378,043"
06/22/2021,"6.22","6.27","6.05","6.18","323,575"
06/21/2021,"6.46","6.46","6.16","6.23","376,520"
06/18/2021,"6.60","6.77","6.34","6.48","600,857"
06/17/2021,"6.80","6.87","6.59","6.64","415,814"
06/16/2021,"6.75","6.98","6.65","6.71","565,859"
06/15/2021,"7.10","7.18","6.62","6.72","955,425"
06/14/2021,"6.63","7.46","6.61","7.36","1,934,838"
06/11/2021,"6.95","7.27","6.56","6.70","890,495"
06/10/2021,"7.01","7.05","6.60","6.83","495,950"
06/09/2021,"7.36","7.44","6.87","7.01","748,569"
06/08/2021,"6.84","7.25","6.63","7.23","709,973"
06/07/2021,"6.58","6.85","6.55","6.77","434,591"
06/04/2021,"6.66","6.77","6.40","6.58","596,954"
06/03/2021,"6.45","7.60","6.30","6.69","2,276,928"
06/02/2021,"6.95","6.95","6.27","6.39","1,965,260"
06/01/2021,"7.07","7.35","6.84","7.02","1,157,655"
05/28/2021,"7.15","7.65","7.09","7.14","320,384"
05/27/2021,"7.20","7.30","7.05","7.10","206,404"
05/26/2021,"7.60","8.20","7.13","7.20","961,913"
05/25/2021,"6.99","7.55","6.90","7.33","691,531"
05/24/2021,"7.08","7.27","6.90","6.94","409,027"
05/21/2021,"7.00","7.19","6.81","7.01","295,488"
05/20/2021,"7.46","7.50","6.85","6.98","559,820"
05/19/2021,"6.93","7.78","6.90","7.46","766,623"
05/18/2021,"6.86","7.49","6.70","7.06","441,744"
05/17/2021,"6.87","6.95","6.50","6.80","258,017"
05/14/2021,"6.42","7.24","6.22","6.97","1,003,294"
05/13/2021,"6.96","7.22","6.14","6.21","643,722"
05/12/2021,"7.18","7.37","6.89","6.90","191,690"
05/11/2021,"6.88","7.50","6.61","7.23","290,646"
05/10/2021,"7.85","7.86","7.20","7.36","508,217"
05/07/2021,"8.00","8.30","7.70","7.82","278,669"
05/06/2021,"8.28","8.35","7.81","7.92","361,574"
05/05/2021,"8.46","8.64","8.29","8.40","231,061"
05/04/2021,"9.00","9.14","8.24","8.55","794,348"
05/03/2021,"9.08","9.29","8.53","9.19","696,829"
04/30/2021,"8.78","9.27","8.77","8.97","259,836"
04/29/2021,"9.35","9.44","8.73","8.98","367,988"
04/28/2021,"9.60","9.79","9.14","9.34","744,118"
04/27/2021,"9.17","10.50","9.12","9.49","2,549,279"
04/26/2021,"8.98","9.35","8.73","9.12","377,980"
04/23/2021,"8.99","9.26","8.73","8.86","307,762"
04/22/2021,"8.77","9.32","8.52","8.96","551,357"
04/21/2021,"8.12","8.80","8.06","8.72","224,416"
04/20/2021,"8.58","8.75","8.03","8.21","314,130"
04/19/2021,"8.97","9.05","8.45","8.55","280,079"
04/16/2021,"9.12","9.19","8.69","9.03","297,419"
04/15/2021,"9.68","9.68","8.80","9.08","396,583"
04/14/2021,"9.55","9.72","9.12","9.43","299,701"
04/13/2021,"9.25","9.60","9.11","9.53","349,015"
04/12/2021,"10.14","10.14","9.08","9.16","926,707"
04/09/2021,"10.39","10.39","9.82","10.15","393,906"
04/08/2021,"10.15","10.74","9.71","10.45","896,274"
04/07/2021,"10.30","10.43","9.88","10.20","540,297"
