Date,Open,High,Low,Close,Volume
08/12/2021,"20.36","20.59","19.85","20.25","1,200,210"
08/11/2021,"19.75","20.60","19.75","20.32","1,437,653"
08/10/2021,"19.75","19.98","19.53","19.67","1,358,930"
08/09/2021,"19.94","19.94","19.55","19.72","1,180,283"
08/06/2021,"20.11","20.18","19.85","19.97","871,589"
08/05/2021,"19.66","19.91","19.60","19.74","1,095,127"
08/04/2021,"19.26","20.18","19.25","19.71","2,597,163"
08/03/2021,"20.09","20.18","19.45","19.56","2,455,379"
08/02/2021,"20.62","20.76","20.14","20.23","1,148,898"
07/30/2021,"20.58","21.23","20.54","20.63","1,181,432"
07/29/2021,"21.10","21.25","20.50","20.69","1,724,393"
07/28/2021,"20.83","21.11","20.45","21.03","1,078,579"
07/27/2021,"20.86","20.91","20.26","20.66","808,189"
07/26/2021,"20.83","21.28","20.56","20.93","988,795"
07/23/2021,"20.19","20.99","20.19","20.97","1,158,107"
07/22/2021,"20.50","20.50","20.11","20.43","861,157"
07/21/2021,"20.00","20.61","19.95","20.49","2,285,206"
07/20/2021,"19.41","19.98","19.21","19.98","1,485,085"
07/19/2021,"18.83","19.33","18.23","19.29","2,913,618"
07/16/2021,"19.90","19.95","18.84","19.20","3,622,452"
07/15/2021,"20.58","20.81","19.76","19.92","2,250,652"
07/14/2021,"21.19","21.47","20.82","20.85","1,402,306"
07/13/2021,"21.61","21.78","21.12","21.13","1,434,650"
07/12/2021,"21.31","21.60","21.09","21.58","1,701,221"
07/09/2021,"20.76","21.50","20.76","21.45","1,869,374"
07/08/2021,"20.32","20.79","20.25","20.71","1,770,017"
07/07/2021,"20.99","21.34","20.71","21.05","2,163,251"
07/06/2021,"21.52","21.55","20.72","21.20","2,079,579"
07/02/2021,"21.68","21.68","21.24","21.57","1,860,560"
07/01/2021,"22.51","22.59","21.15","21.76","2,850,798"
06/30/2021,"22.21","22.78","22.20","22.41","1,839,820"
06/29/2021,"22.14","22.89","21.97","22.22","2,539,227"
06/28/2021,"22.62","22.62","21.80","22.14","2,635,003"
06/25/2021,"22.10","22.60","21.95","22.56","3,430,170"
06/24/2021,"22.22","22.38","21.88","22.07","1,538,546"
06/23/2021,"21.86","22.23","21.58","22.07","2,698,907"
06/22/2021,"21.96","22.15","21.45","21.80","2,991,210"
06/21/2021,"22.22","22.44","21.76","21.80","2,647,979"
06/18/2021,"22.71","22.95","22.21","22.27","5,765,158"
06/17/2021,"23.01","23.61","22.56","23.08","4,178,828"
06/16/2021,"24.94","25.09","22.81","22.85","10,222,750"
06/15/2021,"25.65","27.29","24.81","25.41","26,420,391"
06/14/2021,"23.85","28.73","22.75","28.05","42,491,031"
06/11/2021,"23.46","23.86","23.19","23.80","2,033,697"
06/10/2021,"24.59","25.20","23.28","23.37","4,913,117"
06/09/2021,"23.80","24.50","23.24","24.09","5,175,353"
06/08/2021,"22.11","23.79","22.03","23.66","3,989,758"
06/07/2021,"22.15","22.17","21.75","22.03","3,029,345"
06/04/2021,"22.03","22.60","21.75","22.09","3,819,436"
06/03/2021,"22.66","22.82","21.86","21.89","3,534,418"
06/02/2021,"22.97","23.17","22.46","22.90","4,617,534"
