Date,Open,High,Low,Close,Volume
08/20/2021,"43.59","44.94","43.53","44.43","1,459,950"
08/19/2021,"42.99","44.62","42.87","43.62","528,787"
08/18/2021,"42.23","44.30","42.22","43.74","923,392"
08/17/2021,"43.00","43.34","41.71","42.23","1,345,543"
08/16/2021,"43.49","44.50","43.04","43.72","1,045,805"
08/13/2021,"43.29","45.00","42.81","43.79","742,710"
08/12/2021,"43.60","43.96","42.68","43.28","609,988"
08/11/2021,"43.69","44.34","43.19","43.80","588,435"
08/10/2021,"43.22","44.09","43.06","43.78","942,664"
08/09/2021,"43.50","43.67","42.40","43.08","1,390,502"
08/06/2021,"43.82","44.20","43.10","43.46","945,048"
08/05/2021,"42.45","44.34","41.76","43.82","1,873,522"
08/04/2021,"41.36","42.53","41.07","42.51","1,245,723"
08/03/2021,"40.52","41.99","40.28","41.58","1,088,266"
08/02/2021,"40.78","41.12","39.81","40.59","1,303,565"
07/30/2021,"39.50","42.29","39.28","41.73","1,928,662"
07/29/2021,"39.98","40.25","39.12","39.52","1,281,381"
07/28/2021,"38.47","40.34","38.32","39.81","1,344,430"
07/27/2021,"39.57","40.14","37.56","38.20","1,619,515"
07/26/2021,"38.08","40.29","37.70","39.76","2,222,203"
07/23/2021,"38.32","39.70","37.90","38.02","1,356,807"
07/22/2021,"36.80","39.48","36.51","38.39","1,904,516"
07/21/2021,"38.75","40.99","36.77","36.86","4,177,695"
07/20/2021,"37.10","38.19","35.78","37.80","1,710,181"
07/19/2021,"35.50","37.06","35.12","37.05","1,308,244"
07/16/2021,"35.44","37.32","35.23","36.40","1,372,426"
07/15/2021,"33.46","35.67","33.11","35.12","1,372,670"
07/14/2021,"35.01","35.37","33.35","33.46","1,598,081"
07/13/2021,"34.99","35.47","34.52","34.96","420,820"
07/12/2021,"35.60","36.09","34.90","35.21","296,843"
07/09/2021,"35.18","35.86","34.70","35.52","646,156"
07/08/2021,"34.48","34.98","33.39","34.94","849,483"
07/07/2021,"36.05","36.41","34.56","34.90","798,983"
07/06/2021,"36.15","37.42","35.59","36.02","698,965"
07/02/2021,"36.63","37.37","35.99","36.15","508,992"
07/01/2021,"38.11","38.33","36.37","36.63","2,030,841"
06/30/2021,"38.00","38.83","37.59","38.25","1,315,683"
06/29/2021,"37.66","39.15","37.38","38.23","995,098"
06/28/2021,"38.37","38.94","37.31","37.74","997,117"
06/25/2021,"37.09","38.24","36.88","37.64","555,578"
06/24/2021,"37.37","37.96","36.68","36.82","276,515"
06/23/2021,"36.75","37.41","36.32","37.13","362,380"
06/22/2021,"36.88","37.30","36.13","36.64","1,452,800"
06/21/2021,"37.08","37.68","36.06","37.13","541,722"
06/18/2021,"38.10","38.50","36.97","37.22","832,204"
06/17/2021,"37.42","39.53","37.33","38.54","1,152,246"
06/16/2021,"36.59","37.76","36.49","37.53","738,773"
06/15/2021,"36.29","37.19","36.09","36.58","495,249"
06/14/2021,"36.85","37.70","36.17","36.52","618,023"
06/11/2021,"36.11","37.98","35.39","37.13","1,676,240"
06/10/2021,"34.90","36.09","34.20","35.77","520,378"
06/09/2021,"35.27","35.55","34.35","35.07","565,253"
06/08/2021,"33.41","35.93","32.73","35.16","1,270,865"
06/07/2021,"32.34","33.76","32.00","33.03","1,083,439"
06/04/2021,"32.33","32.94","31.93","32.07","522,105"
06/03/2021,"33.50","33.79","32.04","32.24","894,382"
06/02/2021,"34.10","34.59","33.64","34.06","616,163"
06/01/2021,"35.02","35.50","33.65","34.19","655,832"
05/28/2021,"34.02","35.24","33.81","34.44","849,716"
05/27/2021,"33.62","34.05","32.86","33.74","447,237"
05/26/2021,"33.41","34.12","33.33","33.72","607,017"
05/25/2021,"33.54","33.88","33.20","33.35","402,283"
05/24/2021,"33.28","33.91","33.08","33.55","420,011"
05/21/2021,"34.10","34.42","33.20","33.28","566,757"
05/20/2021,"34.07","34.80","33.55","33.70","1,174,754"
05/19/2021,"32.72","34.01","31.95","33.94","1,480,279"
05/18/2021,"33.78","34.74","32.09","32.28","1,406,566"
05/17/2021,"32.91","33.31","32.10","33.02","784,152"
05/14/2021,"30.65","33.34","30.59","33.15","1,614,957"
05/13/2021,"32.03","32.37","29.36","29.86","1,602,368"
05/12/2021,"33.27","33.30","31.28","31.40","1,641,642"
05/11/2021,"32.89","34.41","32.38","33.25","4,554,320"
05/10/2021,"35.24","35.24","33.91","34.00","2,988,374"
05/07/2021,"35.90","37.28","35.22","35.61","4,200,586"
05/06/2021,"34.95","35.83","33.66","35.74","1,322,394"
05/05/2021,"37.35","37.36","34.88","35.44","1,443,053"
05/04/2021,"35.60","37.13","34.40","37.02","2,589,678"
