Date,Open,High,Low,Close,Volume
08/11/2021,"42.50","42.75","41.21","42.25","6,232,455"
08/10/2021,"42.61","43.69","41.88","42.33","5,298,218"
08/09/2021,"41.39","42.79","41.11","42.37","6,519,951"
08/06/2021,"42.91","43.07","40.37","41.22","8,913,326"
08/05/2021,"43.00","43.53","42.12","42.75","6,351,242"
08/04/2021,"44.17","45.13","43.46","43.78","10,470,860"
08/03/2021,"42.22","43.08","41.52","42.76","10,996,720"
08/02/2021,"42.50","44.12","41.81","43.39","20,832,570"
07/30/2021,"38.68","42.24","38.22","40.53","21,732,529"
07/29/2021,"38.92","39.26","37.47","38.10","9,915,079"
07/28/2021,"36.84","38.34","35.95","37.34","19,808,270"
07/27/2021,"39.34","39.83","33.86","34.70","38,824,168"
07/26/2021,"39.61","43.02","39.41","40.75","12,377,110"
07/23/2021,"41.99","42.08","39.72","41.00","11,475,330"
07/22/2021,"43.55","43.95","42.66","43.27","6,905,388"
07/21/2021,"41.62","44.42","41.37","43.87","18,107,760"
07/20/2021,"39.94","40.99","39.10","40.76","8,123,508"
07/19/2021,"38.18","39.90","37.21","39.72","10,598,740"
07/16/2021,"38.93","39.55","38.38","39.03","11,318,760"
07/15/2021,"37.49","39.30","36.92","38.51","11,017,100"
07/14/2021,"38.89","39.51","37.28","37.77","11,170,220"
07/13/2021,"39.70","40.31","38.51","39.19","8,386,460"
07/12/2021,"39.95","40.89","38.62","39.80","9,265,729"
07/09/2021,"40.36","40.69","38.87","39.92","11,282,620"
07/08/2021,"38.75","41.47","38.38","40.00","19,139,570"
07/07/2021,"43.36","44.25","40.42","41.47","28,874,439"
07/06/2021,"42.19","45.33","42.19","44.05","18,127,539"
07/02/2021,"43.81","44.12","41.51","43.74","17,694,971"
07/01/2021,"46.28","47.98","42.90","43.66","34,419,168"
06/30/2021,"43.23","44.78","43.03","44.42","22,597,430"
06/29/2021,"44.15","45.10","43.37","44.32","14,390,240"
06/28/2021,"42.40","45.53","42.36","45.31","16,329,370"
06/25/2021,"41.15","42.45","40.77","42.16","11,366,540"
06/24/2021,"42.20","42.27","40.16","40.95","14,767,790"
06/23/2021,"42.02","42.73","41.05","41.61","16,889,189"
06/22/2021,"42.45","43.55","39.71","39.99","24,147,350"
06/21/2021,"44.93","45.00","42.08","43.63","14,259,300"
06/18/2021,"44.64","45.75","44.43","45.23","34,853,141"
06/17/2021,"41.09","44.40","40.96","44.24","19,008,910"
06/16/2021,"38.87","41.26","38.64","41.03","14,648,890"
06/15/2021,"41.25","42.00","40.05","40.17","16,102,310"
06/14/2021,"41.94","43.20","41.45","42.60","14,439,140"
06/11/2021,"38.90","41.77","38.68","41.50","19,326,461"
06/10/2021,"38.20","39.17","38.03","38.61","9,932,320"
06/09/2021,"40.10","40.24","37.77","38.07","13,997,770"
06/08/2021,"38.97","40.16","38.69","39.65","21,313,520"
06/07/2021,"37.07","38.77","36.69","38.36","14,478,920"
06/04/2021,"36.37","37.73","35.90","37.11","13,185,860"
06/03/2021,"34.84","37.06","34.28","35.95","15,989,660"
06/02/2021,"34.50","36.23","34.15","35.00","17,256,711"
06/01/2021,"33.70","34.77","33.04","34.60","21,612,029"
05/28/2021,"32.17","33.09","31.85","32.13","9,713,253"
05/27/2021,"31.70","32.43","30.83","32.39","29,431,760"
05/26/2021,"29.98","32.06","29.66","31.57","17,681,520"
05/25/2021,"29.60","30.48","28.54","29.38","13,389,070"
05/24/2021,"28.61","29.54","27.69","29.13","10,494,050"
05/21/2021,"29.21","29.27","28.22","28.58","10,035,460"
05/20/2021,"28.04","29.38","27.84","28.80","14,760,940"
05/19/2021,"26.28","27.87","26.07","27.64","11,093,750"
05/18/2021,"26.50","27.78","26.06","27.32","15,116,030"
05/17/2021,"25.82","26.60","25.33","26.12","11,256,270"
05/14/2021,"24.01","25.99","23.87","25.70","14,855,170"
05/13/2021,"25.14","25.68","22.73","23.56","29,007,900"
05/12/2021,"24.87","25.67","24.53","24.76","16,207,910"
05/11/2021,"23.90","25.24","23.00","24.93","17,145,619"
05/10/2021,"26.81","26.81","25.02","25.46","13,537,330"
05/07/2021,"26.61","27.67","26.41","26.69","11,595,510"
