Date,Open,High,Low,Close,Volume
08/12/2021,"11.92","11.96","11.70","11.94","18,964"
08/11/2021,"11.78","12.03","11.60","11.85","37,790"
08/10/2021,"11.84","12.08","11.56","11.99","34,567"
08/09/2021,"12.13","12.15","11.51","11.98","85,521"
08/06/2021,"12.00","12.11","11.75","11.98","62,285"
08/05/2021,"11.40","12.11","11.26","12.09","151,159"
08/04/2021,"11.50","11.73","11.00","11.50","103,964"
08/03/2021,"11.60","11.80","11.50","11.50","49,008"
08/02/2021,"11.69","11.99","11.53","11.60","103,887"
07/30/2021,"11.71","11.85","11.53","11.72","81,200"
07/29/2021,"11.94","12.10","11.50","11.70","157,002"
07/28/2021,"12.10","12.10","11.50","11.95","157,920"
07/27/2021,"12.41","12.47","11.84","12.11","195,697"
07/26/2021,"12.49","13.10","12.25","12.30","232,910"
07/23/2021,"11.20","12.91","10.99","12.25","4,026,343"
