Date,Open,High,Low,Close,Volume
08/30/2021,"9.96","10.04","9.43","9.89","746,732"
08/27/2021,"9.88","10.18","9.70","9.89","559,505"
08/26/2021,"9.98","10.29","9.63","9.78","694,162"
08/25/2021,"10.04","10.08","9.81","9.96","583,697"
08/24/2021,"10.15","10.50","9.90","10.01","1,076,109"
08/23/2021,"9.53","10.02","9.41","9.85","647,499"
08/20/2021,"9.14","9.52","9.03","9.41","1,268,840"
08/19/2021,"9.71","10.04","9.31","9.40","972,128"
08/18/2021,"9.95","10.24","9.80","10.04","977,555"
08/17/2021,"9.78","10.15","9.55","9.88","1,454,415"
08/16/2021,"10.20","10.60","9.84","10.06","1,496,000"
08/13/2021,"10.76","10.97","10.35","10.41","860,271"
08/12/2021,"10.74","11.00","10.50","10.91","954,867"
08/11/2021,"10.98","11.10","10.58","10.97","1,206,350"
08/10/2021,"13.41","13.41","10.95","10.99","5,307,595"
08/09/2021,"12.85","13.65","12.85","13.55","1,288,643"
08/06/2021,"13.03","13.22","12.67","12.70","547,995"
08/05/2021,"12.57","13.25","12.44","12.91","855,942"
08/04/2021,"12.97","13.45","12.64","12.72","1,032,954"
08/03/2021,"13.36","13.40","12.63","12.94","467,255"
08/02/2021,"13.11","13.76","13.11","13.38","502,769"
07/30/2021,"12.89","13.52","12.51","13.06","816,657"
07/29/2021,"13.65","13.87","12.65","12.97","561,682"
07/28/2021,"12.91","13.64","12.68","13.40","1,800,198"
07/27/2021,"12.99","12.99","11.72","12.33","2,304,258"
07/26/2021,"13.25","13.80","13.05","13.22","1,447,077"
07/23/2021,"15.00","15.31","13.25","14.01","3,940,923"
07/22/2021,"15.80","15.85","15.27","15.60","683,014"
07/21/2021,"15.33","15.94","15.15","15.68","755,842"
07/20/2021,"15.34","15.44","14.72","15.27","481,838"
07/19/2021,"16.18","16.29","14.71","15.23","1,715,002"
07/16/2021,"16.50","17.12","16.32","16.84","1,113,136"
07/15/2021,"16.11","16.80","16.00","16.28","801,186"
07/14/2021,"16.41","16.89","15.95","16.09","1,018,343"
07/13/2021,"16.08","16.54","15.70","16.14","875,326"
07/12/2021,"16.57","16.75","15.98","16.10","609,118"
07/09/2021,"16.65","16.88","16.10","16.66","500,313"
07/08/2021,"15.77","16.40","15.39","16.26","1,328,070"
07/07/2021,"16.80","17.00","16.01","16.34","1,033,156"
07/06/2021,"17.75","17.84","16.53","16.53","1,941,106"
07/02/2021,"18.89","18.90","17.47","18.02","1,634,296"
07/01/2021,"19.92","20.49","18.23","18.85","2,529,319"
06/30/2021,"19.40","20.49","19.01","19.99","1,721,841"
06/29/2021,"19.90","20.49","19.21","19.47","952,648"
06/28/2021,"20.00","21.00","19.67","20.00","1,984,586"
06/25/2021,"18.60","19.95","18.37","19.61","1,369,777"
