Date,Open,High,Low,Close,Volume
08/11/2021,"14.26","14.49","13.69","14.11","2,565,077"
08/10/2021,"14.03","14.41","13.80","14.02","5,408,494"
08/09/2021,"12.36","13.68","12.27","13.24","3,068,209"
08/06/2021,"12.30","12.83","12.13","12.45","1,151,275"
08/05/2021,"12.24","12.47","11.75","11.96","1,414,908"
08/04/2021,"11.64","13.20","11.58","12.53","1,533,114"
08/03/2021,"11.90","13.28","11.27","11.66","3,010,737"
08/02/2021,"9.84","11.93","9.67","11.70","2,680,534"
07/30/2021,"9.56","10.00","9.42","9.47","5,454,218"
07/29/2021,"10.78","10.90","9.68","10.38","8,529,864"
07/28/2021,"9.70","10.27","9.30","9.86","7,192,881"
07/27/2021,"9.67","9.70","7.95","8.70","10,360,440"
07/26/2021,"9.78","10.64","9.45","9.98","9,049,308"
07/23/2021,"14.41","14.66","10.80","10.85","10,444,300"
07/22/2021,"16.54","16.55","15.11","15.15","1,145,526"
07/21/2021,"16.33","16.74","16.15","16.56","1,266,882"
07/20/2021,"16.43","16.52","15.40","16.35","2,022,071"
07/19/2021,"16.54","16.86","16.10","16.30","2,271,035"
07/16/2021,"17.31","17.39","16.76","17.20","2,212,160"
07/15/2021,"17.24","17.71","16.76","17.16","944,936"
07/14/2021,"17.15","18.07","17.15","17.52","3,034,619"
07/13/2021,"15.77","17.80","15.77","17.57","3,171,501"
07/12/2021,"15.85","16.10","15.43","15.78","2,723,402"
07/09/2021,"15.36","16.00","15.14","15.94","3,046,487"
07/08/2021,"16.38","16.56","14.91","15.13","6,976,971"
07/07/2021,"16.58","17.46","16.00","17.00","4,527,211"
07/06/2021,"15.22","17.80","14.89","17.75","24,114,199"
07/02/2021,"18.00","19.71","17.99","19.02","2,948,316"
07/01/2021,"19.47","19.53","17.62","18.60","3,965,713"
06/30/2021,"16.15","20.80","16.00","20.38","10,051,990"
06/29/2021,"17.71","17.71","15.38","16.15","9,578,774"
06/28/2021,"19.60","19.67","17.01","17.81","11,270,290"
06/25/2021,"21.02","21.07","19.73","19.73","2,700,321"
06/24/2021,"20.86","21.21","20.70","21.02","7,022,919"
06/23/2021,"20.10","21.50","19.04","21.00","13,438,480"
06/22/2021,"22.50","22.80","21.00","21.50","36,694,200"
