Date,Open,High,Low,Close,Volume
08/12/2021,"6.41","6.45","6.25","6.34","921,371"
08/11/2021,"6.69","6.69","6.15","6.50","1,360,454"
08/10/2021,"7.06","7.08","6.68","6.74","1,782,616"
08/09/2021,"6.89","6.99","6.71","6.92","1,638,993"
08/06/2021,"6.66","6.85","6.52","6.79","1,505,196"
08/05/2021,"6.72","6.80","6.40","6.59","3,161,391"
08/04/2021,"6.84","7.04","6.66","6.78","2,286,793"
08/03/2021,"6.92","7.01","6.77","6.81","943,471"
08/02/2021,"6.76","7.08","6.60","7.05","862,436"
07/30/2021,"6.33","6.76","6.26","6.74","2,445,865"
07/29/2021,"7.05","7.25","6.72","6.74","2,222,418"
07/28/2021,"6.42","7.17","6.41","6.96","3,933,639"
07/27/2021,"6.00","6.37","6.00","6.21","3,800,698"
07/26/2021,"5.84","6.80","5.83","6.25","5,737,938"
07/23/2021,"6.42","6.42","5.98","6.21","8,019,423"
07/22/2021,"7.48","7.51","7.07","7.16","1,819,877"
07/21/2021,"7.37","7.60","7.21","7.46","1,924,858"
07/20/2021,"7.16","7.36","7.13","7.31","2,204,595"
07/19/2021,"7.62","7.62","7.13","7.22","2,477,277"
07/16/2021,"8.10","8.16","7.62","7.75","2,162,534"
07/15/2021,"8.25","8.36","8.00","8.11","785,503"
07/14/2021,"8.92","8.92","8.00","8.14","1,941,884"
07/13/2021,"8.74","9.31","8.72","8.94","1,194,018"
07/12/2021,"8.78","8.98","8.47","8.72","1,350,502"
07/09/2021,"8.73","8.79","8.36","8.78","1,821,135"
07/08/2021,"8.10","8.67","7.92","8.66","2,176,713"
07/07/2021,"8.84","8.84","8.30","8.35","1,545,708"
07/06/2021,"8.80","9.03","8.60","8.64","2,218,705"
07/02/2021,"8.94","9.16","8.71","9.03","1,979,870"
07/01/2021,"9.23","9.32","8.77","8.88","2,472,168"
06/30/2021,"9.33","9.73","9.08","9.37","2,353,279"
06/29/2021,"9.83","9.96","9.36","9.39","1,094,545"
06/28/2021,"10.11","10.15","9.74","9.90","899,587"
06/25/2021,"9.79","10.24","9.60","9.93","2,806,428"
06/24/2021,"9.30","9.77","9.15","9.70","3,421,408"
06/23/2021,"9.25","9.44","9.07","9.30","2,017,170"
06/22/2021,"9.41","9.48","8.72","9.16","1,992,954"
06/21/2021,"10.19","10.31","9.40","9.40","2,422,441"
06/18/2021,"10.34","10.48","10.13","10.18","4,316,906"
06/17/2021,"10.31","10.85","10.22","10.32","2,395,759"
06/16/2021,"10.21","10.58","10.21","10.37","1,178,856"
06/15/2021,"10.48","10.53","10.21","10.35","1,752,011"
06/14/2021,"10.29","11.05","10.10","10.48","2,045,977"
06/11/2021,"9.98","10.06","9.77","10.03","1,773,996"
06/10/2021,"10.53","10.61","9.95","9.95","2,681,873"
06/09/2021,"10.35","11.19","10.35","10.40","3,397,020"
06/08/2021,"10.33","10.51","10.26","10.35","3,630,581"
06/07/2021,"10.65","10.70","10.23","10.35","1,836,292"
06/04/2021,"10.57","10.90","10.46","10.68","1,753,713"
06/03/2021,"10.95","11.08","10.35","10.39","3,696,872"
06/02/2021,"11.01","11.50","10.67","11.01","3,676,810"
06/01/2021,"11.55","11.64","10.52","11.03","5,262,526"
05/28/2021,"11.06","11.46","11.02","11.35","3,252,115"
05/27/2021,"10.20","11.18","10.04","11.18","3,187,173"
05/26/2021,"9.96","10.32","9.84","10.18","2,863,319"
05/25/2021,"9.86","9.90","9.66","9.84","2,344,070"
05/24/2021,"9.63","9.98","9.56","9.81","2,484,136"
05/21/2021,"9.38","10.05","9.20","9.52","5,292,950"
05/20/2021,"9.27","9.66","9.07","9.32","5,162,893"
05/19/2021,"8.68","9.59","8.50","9.37","9,267,351"
05/18/2021,"10.15","10.19","9.64","9.82","3,337,559"
05/17/2021,"9.50","10.01","9.49","9.91","3,107,096"
05/14/2021,"9.09","9.50","8.95","9.44","787,852"
05/13/2021,"9.27","9.32","8.56","8.87","2,436,452"
05/12/2021,"9.42","9.55","9.16","9.32","1,539,890"
05/11/2021,"8.80","9.98","8.70","9.60","2,828,581"
05/10/2021,"9.42","9.42","8.70","9.02","3,070,367"
05/07/2021,"9.67","9.94","9.44","9.45","2,429,902"
05/06/2021,"9.90","9.98","9.44","9.78","1,752,789"
05/05/2021,"10.28","10.39","9.89","9.98","1,886,535"
05/04/2021,"10.16","10.31","9.86","10.28","1,855,332"
05/03/2021,"10.40","10.57","10.06","10.33","1,528,670"
04/30/2021,"10.03","10.63","9.90","10.42","3,691,595"
04/29/2021,"11.03","11.20","10.11","10.23","4,582,218"
04/28/2021,"12.11","12.13","10.84","10.98","5,586,401"
04/27/2021,"11.99","12.52","11.60","12.11","1,794,639"
04/26/2021,"11.71","11.97","11.27","11.87","1,672,896"
04/23/2021,"11.80","12.35","11.23","11.70","3,796,159"
04/22/2021,"11.12","13.33","10.94","11.45","10,286,120"
04/21/2021,"9.96","11.50","9.79","10.97","5,364,658"
