Date,Open,High,Low,Close,Volume
08/27/2021,"9.76","9.76","9.76","9.76","101"
08/26/2021,"9.72","9.83","9.69","9.76","24,099"
08/25/2021,"9.74","9.85","9.74","9.78","1,615"
08/24/2021,"9.75","9.84","9.75","9.83","667,401"
08/23/2021,"9.70","9.85","9.70","9.80","939,152"
08/20/2021,"9.72","9.75","9.71","9.71","4,012"
08/19/2021,"9.74","9.75","9.72","9.75","342,724"
08/18/2021,"9.72","9.72","9.72","9.72","140"
08/17/2021,"9.72","9.74","9.72","9.74","242"
08/16/2021,"9.75","9.78","9.72","9.76","3,974"
08/13/2021,"9.76","9.79","9.75","9.77","4,174"
08/12/2021,"9.79","9.85","9.75","9.81","27,352"
08/11/2021,"9.75","9.79","9.75","9.78","355"
08/10/2021,"9.76","9.76","9.76","9.76","152"
08/09/2021,"9.77","9.77","9.77","9.77","201"
08/06/2021,"9.83","9.87","9.79","9.79","113,933"
08/05/2021,"9.93","9.93","9.77","9.85","106,296"
08/04/2021,"9.81","9.87","9.75","9.87","1,197,960"
08/03/2021,"9.89","9.89","9.89","9.89","496"
08/02/2021,"9.84","9.84","9.84","9.84","1"
07/30/2021,"9.85","9.85","9.65","9.84","761,622"
07/29/2021,"9.95","9.95","9.80","9.85","21,135"
07/27/2021,"9.96","9.96","9.95","9.95","18,351"
07/23/2021,"9.95","9.95","9.95","9.95","250"
07/22/2021,"9.99","9.99","9.91","9.92","6,501"
07/21/2021,"9.94","9.95","9.94","9.95","106,231"
07/20/2021,"9.99","9.99","9.99","9.99","25"
07/19/2021,"10.00","10.00","9.89","9.99","35,231"
07/16/2021,"9.99","9.99","9.99","9.99","100"
07/15/2021,"9.96","10.00","9.96","10.00","450"
07/14/2021,"10.00","10.00","10.00","10.00","3"
07/13/2021,"10.03","10.03","10.00","10.00","2,117"
07/12/2021,"10.02","10.05","10.02","10.03","21,926"
07/09/2021,"10.00","10.10","10.00","10.04","6,304"
07/08/2021,"10.13","10.13","9.99","10.00","3,403"
07/07/2021,"10.10","10.15","10.10","10.15","17,117"
07/06/2021,"10.15","10.15","10.08","10.10","51,222"
07/02/2021,"10.08","10.08","10.08","10.08","132"
07/01/2021,"10.06","10.13","10.00","10.08","163,303"
06/30/2021,"10.15","10.15","10.08","10.08","59,182"
06/29/2021,"10.10","10.15","10.10","10.11","732,557"
06/28/2021,"10.08","10.13","10.02","10.10","302,738"
06/25/2021,"9.99","10.09","9.99","10.09","12,328"
06/24/2021,"9.99","10.00","9.99","9.99","12,000"
06/23/2021,"10.00","10.03","9.97","10.00","29,533"
06/22/2021,"10.05","10.05","9.95","10.00","24,500"
06/21/2021,"10.03","10.08","10.03","10.08","2,417"
06/18/2021,"10.06","10.11","10.02","10.07","6,092"
06/17/2021,"10.06","10.10","10.05","10.10","5,389"
06/16/2021,"10.07","10.08","10.02","10.08","9,137"
06/15/2021,"10.09","10.12","10.05","10.09","13,729"
06/14/2021,"10.10","10.14","10.03","10.09","3,214"
06/11/2021,"10.10","10.10","10.10","10.10","50,060"
06/10/2021,"10.05","10.13","10.05","10.12","106,231"
06/09/2021,"10.20","10.20","10.05","10.10","42,189"
06/08/2021,"10.07","10.07","10.05","10.05","1,554,921"
06/07/2021,"9.98","10.05","9.98","10.05","1,912"
06/04/2021,"10.01","10.01","9.99","10.00","65,825"
06/03/2021,"10.00","10.00","9.98","9.98","203,126"
06/02/2021,"10.00","10.00","9.98","9.98","11,760"
06/01/2021,"10.01","10.02","10.00","10.00","3,912"
05/28/2021,"10.05","10.05","10.01","10.01","818"
05/27/2021,"10.05","10.05","10.01","10.05","5,734"
05/26/2021,"10.10","10.10","10.06","10.06","929"
05/25/2021,"10.10","10.10","10.10","10.10","12,292"
05/24/2021,"10.14","10.14","10.10","10.10","1,768"
05/21/2021,"10.13","10.13","10.10","10.12","973"
05/20/2021,"10.01","10.01","10.01","10.01","86"
05/19/2021,"10.19","10.19","10.01","10.01","14,980"
05/18/2021,"10.17","10.17","10.17","10.17","32"
05/17/2021,"10.14","10.17","10.13","10.17","7,844"
05/14/2021,"10.13","10.15","10.12","10.15","22,377"
05/13/2021,"10.13","10.13","10.13","10.13","105"
05/12/2021,"10.15","10.15","10.02","10.02","11,103"
05/11/2021,"10.10","10.10","10.03","10.03","9,376"
05/10/2021,"10.08","10.19","10.05","10.16","91,150"
05/06/2021,"10.10","10.13","10.06","10.13","179,584"
05/05/2021,"10.10","10.11","10.08","10.10","3,666"
05/04/2021,"10.13","10.13","10.11","10.12","496"
05/03/2021,"10.10","10.19","10.10","10.19","652"
04/30/2021,"10.17","10.20","10.10","10.10","3,547"
04/29/2021,"10.10","10.10","10.10","10.10","2,801"
04/28/2021,"10.38","10.38","10.10","10.12","60,207"
04/27/2021,"10.47","10.47","10.28","10.29","10,905"
04/26/2021,"10.31","10.83","10.31","10.37","1,660"
04/23/2021,"10.27","10.27","10.12","10.17","2,873"
04/22/2021,"10.11","10.14","10.10","10.14","33,539"
04/21/2021,"10.16","10.16","10.15","10.16","171,974"
04/20/2021,"10.15","10.17","10.15","10.15","144,044"
04/19/2021,"10.10","10.17","10.10","10.13","76,672"
04/16/2021,"10.11","10.15","10.11","10.11","18,584"
04/15/2021,"10.10","10.14","10.10","10.11","111,269"
04/14/2021,"10.10","10.26","10.10","10.11","2,186,797"
