Date,Open,High,Low,Close,Volume
08/20/2021,"13.15","14.14","13.15","13.84","552,886"
08/19/2021,"12.19","13.40","12.19","12.99","600,649"
08/18/2021,"12.29","12.69","12.08","12.27","152,828"
08/17/2021,"12.26","13.08","12.12","12.36","394,914"
08/16/2021,"11.77","12.77","11.60","12.49","720,109"
08/13/2021,"11.49","11.49","11.04","11.39","98,652"
08/12/2021,"11.26","11.48","11.11","11.40","283,054"
08/11/2021,"11.03","11.52","11.02","11.40","120,767"
08/10/2021,"11.31","11.54","11.07","11.37","143,082"
08/09/2021,"11.37","11.70","11.17","11.20","135,288"
08/06/2021,"11.30","11.62","10.71","11.36","210,825"
08/05/2021,"11.60","11.88","11.37","11.38","226,416"
08/04/2021,"11.52","11.87","11.26","11.65","121,552"
08/03/2021,"11.55","11.89","11.27","11.63","144,807"
08/02/2021,"11.14","11.90","11.14","11.60","217,969"
07/30/2021,"10.92","11.15","10.77","11.14","162,845"
07/29/2021,"10.26","11.07","10.26","11.00","271,469"
07/28/2021,"10.10","10.47","10.01","10.47","254,076"
07/27/2021,"10.57","10.83","10.10","10.10","1,702,538"
07/26/2021,"10.20","10.94","10.20","10.63","1,095,592"
07/23/2021,"10.16","10.60","10.16","10.20","906,983"
07/22/2021,"10.35","11.20","9.49","10.20","5,429,339"
