Date,Open,High,Low,Close,Volume
08/20/2021,"5.62","5.88","5.60","5.87","293,649"
08/19/2021,"6.00","6.08","5.65","5.67","348,831"
08/18/2021,"5.80","6.06","5.69","6.00","484,045"
08/17/2021,"5.44","5.76","5.32","5.75","389,092"
08/16/2021,"5.81","5.81","5.36","5.48","445,976"
08/13/2021,"5.90","6.07","5.75","5.81","609,071"
08/12/2021,"5.61","6.03","5.46","5.95","773,506"
08/11/2021,"5.92","5.95","5.27","5.46","1,211,849"
08/10/2021,"6.11","6.20","5.85","5.89","476,424"
08/09/2021,"6.12","6.19","6.05","6.10","432,118"
08/06/2021,"5.96","6.15","5.86","6.09","284,752"
08/05/2021,"5.90","6.10","5.88","6.04","354,849"
08/04/2021,"5.99","6.02","5.85","5.95","140,591"
08/03/2021,"6.26","6.26","5.85","5.91","444,497"
08/02/2021,"6.17","6.40","6.10","6.23","467,112"
07/30/2021,"6.15","6.18","5.97","6.03","250,910"
07/29/2021,"6.00","6.19","6.00","6.02","218,594"
07/28/2021,"6.05","6.19","5.97","5.98","428,303"
07/27/2021,"6.13","6.25","6.03","6.07","192,330"
07/26/2021,"6.11","6.28","6.05","6.18","213,700"
07/23/2021,"6.42","6.42","6.02","6.21","380,024"
07/22/2021,"6.12","6.50","6.00","6.42","448,421"
07/21/2021,"6.12","6.15","5.71","6.05","447,643"
07/20/2021,"6.09","6.24","6.00","6.01","239,882"
07/19/2021,"5.95","6.26","5.85","6.04","453,313"
07/16/2021,"6.30","6.39","6.02","6.08","296,480"
07/15/2021,"6.12","6.44","6.03","6.29","441,767"
07/14/2021,"6.59","6.65","6.00","6.08","835,809"
07/13/2021,"6.77","6.88","6.26","6.46","643,795"
07/12/2021,"7.29","7.37","6.64","6.79","835,846"
07/09/2021,"7.14","7.42","7.06","7.25","406,708"
07/08/2021,"7.24","7.30","6.77","7.16","543,621"
07/07/2021,"7.95","8.00","7.28","7.39","775,498"
07/06/2021,"8.38","8.41","7.81","7.84","586,559"
07/02/2021,"7.98","8.36","7.77","8.09","402,189"
07/01/2021,"8.40","8.45","7.90","7.99","485,917"
06/30/2021,"8.19","8.61","8.07","8.40","507,372"
06/29/2021,"8.15","8.37","8.10","8.17","274,676"
06/28/2021,"8.56","8.56","8.02","8.07","445,138"
06/25/2021,"8.41","8.58","8.23","8.42","341,098"
06/24/2021,"8.80","8.94","8.44","8.55","341,072"
06/23/2021,"8.60","8.85","8.41","8.74","418,679"
06/22/2021,"8.13","8.80","8.11","8.57","680,702"
06/21/2021,"8.30","8.36","8.02","8.36","370,463"
06/18/2021,"8.26","8.27","7.90","8.25","514,559"
06/17/2021,"8.55","8.59","7.90","8.26","706,037"
06/16/2021,"8.78","9.10","8.20","8.38","2,879,647"
06/15/2021,"8.70","8.99","8.55","8.92","937,680"
06/14/2021,"8.26","8.95","8.20","8.63","1,231,760"
06/11/2021,"8.80","8.89","8.06","8.27","2,034,385"
06/10/2021,"9.01","9.44","8.31","8.89","10,571,220"
