Date,Open,High,Low,Close,Volume
08/12/2021,"10.18","10.29","9.79","9.87","1,407,360"
08/11/2021,"10.36","10.72","10.19","10.19","1,540,594"
08/10/2021,"10.70","11.04","10.02","10.44","1,523,219"
08/09/2021,"9.92","10.55","9.92","10.41","1,271,943"
08/06/2021,"10.17","10.27","9.56","9.86","1,134,708"
08/05/2021,"9.99","10.34","9.53","10.01","1,017,583"
08/04/2021,"9.59","10.15","9.56","10.02","964,754"
08/03/2021,"9.51","9.76","9.23","9.52","732,923"
08/02/2021,"9.59","9.95","9.22","9.78","758,178"
07/30/2021,"10.05","10.12","9.10","9.23","761,894"
07/29/2021,"10.88","10.88","9.62","9.89","1,440,369"
07/28/2021,"9.70","10.50","9.30","10.40","2,102,653"
07/27/2021,"9.12","9.50","8.23","9.08","2,797,285"
07/26/2021,"9.26","10.25","9.19","9.33","2,690,411"
07/23/2021,"11.19","11.33","10.10","10.27","2,482,298"
07/22/2021,"12.00","12.18","11.63","11.90","977,244"
07/21/2021,"12.25","12.64","11.73","11.91","1,575,448"
07/20/2021,"11.49","12.68","10.97","12.59","1,802,184"
07/19/2021,"10.50","11.58","10.48","11.27","1,953,838"
07/16/2021,"11.27","11.45","10.94","11.07","1,621,343"
07/15/2021,"11.07","11.39","10.62","11.09","1,739,456"
07/14/2021,"10.70","11.30","10.70","10.88","1,879,578"
07/13/2021,"10.00","11.37","9.91","10.62","4,121,272"
07/12/2021,"10.68","10.82","9.78","10.01","1,936,950"
07/09/2021,"9.58","10.75","9.58","10.52","3,092,968"
07/08/2021,"9.00","10.04","8.80","9.45","2,346,613"
07/07/2021,"10.91","10.91","9.21","9.25","4,109,112"
07/06/2021,"11.67","11.67","10.52","10.60","3,404,225"
07/02/2021,"12.50","12.84","12.25","12.51","777,845"
07/01/2021,"13.52","13.69","12.13","12.57","1,641,079"
06/30/2021,"13.17","13.85","12.96","13.56","2,839,698"
06/29/2021,"11.73","13.49","11.64","13.08","3,443,418"
06/28/2021,"11.30","11.87","11.15","11.77","2,020,880"
06/25/2021,"10.68","11.20","10.41","11.14","2,436,924"
06/24/2021,"10.50","10.97","10.47","10.75","1,146,549"
06/23/2021,"10.50","10.92","10.27","10.49","2,102,166"
06/22/2021,"10.37","10.48","10.00","10.29","1,449,037"
06/21/2021,"11.21","11.21","10.12","10.52","1,598,171"
06/18/2021,"11.45","11.49","10.95","11.07","2,774,395"
06/17/2021,"10.77","11.37","10.25","11.33","2,743,044"
06/16/2021,"11.47","12.48","10.32","10.74","3,749,209"
