Date,Open,High,Low,Close,Volume
08/20/2021,"43.80","46.89","43.29","46.07","3,251,210"
08/19/2021,"46.00","46.60","43.54","45.02","3,833,286"
08/18/2021,"47.01","49.00","46.00","46.73","8,041,367"
08/17/2021,"44.75","46.49","43.82","45.51","2,655,433"
08/16/2021,"44.29","45.25","43.50","44.65","2,325,821"
08/13/2021,"43.29","45.38","42.74","44.44","1,846,093"
08/12/2021,"43.00","43.38","41.56","42.78","1,004,581"
08/11/2021,"43.19","43.35","41.90","42.74","1,118,111"
08/10/2021,"42.60","43.06","42.15","42.85","1,623,753"
08/09/2021,"42.75","43.00","41.23","42.66","1,292,277"
08/06/2021,"42.04","42.76","41.61","42.65","686,563"
08/05/2021,"41.97","42.37","41.44","41.88","734,253"
08/04/2021,"42.80","42.82","41.07","41.58","1,102,561"
08/03/2021,"40.86","42.06","39.00","42.02","1,708,702"
08/02/2021,"40.40","41.16","39.76","40.15","1,607,642"
07/30/2021,"38.58","40.39","38.32","39.14","1,068,595"
07/29/2021,"37.89","40.37","37.50","39.50","1,541,747"
07/28/2021,"35.61","37.37","35.49","37.01","2,256,258"
07/27/2021,"36.01","36.05","33.71","34.62","3,821,149"
07/26/2021,"37.00","37.49","35.89","36.25","2,574,443"
07/23/2021,"38.74","38.77","36.99","37.81","920,169"
07/22/2021,"40.00","40.24","38.55","38.86","915,327"
07/21/2021,"37.84","40.05","37.63","39.98","932,672"
07/20/2021,"37.17","38.09","36.60","37.51","1,021,202"
07/19/2021,"36.47","38.25","35.56","38.03","1,338,888"
07/16/2021,"39.59","39.84","37.70","37.85","1,740,653"
07/15/2021,"37.81","40.34","37.70","39.98","1,259,975"
07/14/2021,"40.21","41.25","38.12","38.42","1,577,544"
07/13/2021,"41.62","42.00","39.97","40.51","1,130,781"
07/12/2021,"41.52","43.24","40.70","42.27","1,658,846"
07/09/2021,"39.50","41.88","38.77","41.48","1,339,374"
07/08/2021,"38.99","39.96","37.60","39.08","2,483,963"
07/07/2021,"40.40","41.79","39.90","40.91","1,880,726"
07/06/2021,"41.66","41.94","40.04","40.45","1,651,157"
07/02/2021,"42.51","42.78","39.80","41.61","2,961,495"
07/01/2021,"44.75","45.24","42.00","42.42","2,380,096"
06/30/2021,"44.00","45.64","43.41","44.93","1,624,077"
06/29/2021,"45.16","45.83","43.11","43.56","1,499,597"
06/28/2021,"49.60","49.90","43.20","45.00","3,545,504"
06/25/2021,"47.55","49.30","45.74","48.94","2,487,311"
06/24/2021,"45.25","48.50","45.20","47.18","4,356,399"
06/23/2021,"43.89","44.81","42.70","44.55","1,386,205"
06/22/2021,"43.94","44.92","42.90","43.97","996,065"
06/21/2021,"42.50","44.84","42.50","43.52","1,226,627"
06/18/2021,"42.85","43.75","41.51","42.34","1,026,096"
06/17/2021,"44.63","45.66","42.25","42.85","1,534,699"
06/16/2021,"42.80","45.35","42.50","45.12","2,022,386"
06/15/2021,"44.94","44.95","41.44","42.35","2,222,061"
