Date,Open,High,Low,Close,Volume
08/20/2021,"24.07","25.42","24.07","25.17","709,602"
08/19/2021,"23.39","24.19","22.73","23.82","748,998"
08/18/2021,"24.77","25.02","23.65","23.73","738,151"
08/17/2021,"25.65","25.91","24.31","25.03","1,150,725"
08/16/2021,"28.50","28.50","24.93","25.97","1,972,400"
08/13/2021,"30.72","32.00","27.06","28.90","3,094,144"
08/12/2021,"28.90","29.85","28.68","29.04","2,272,387"
08/11/2021,"27.27","28.76","27.27","28.73","464,590"
08/10/2021,"28.34","28.39","27.36","27.37","465,889"
08/09/2021,"27.77","28.26","27.32","28.00","564,990"
08/06/2021,"26.78","27.90","26.45","27.57","230,099"
08/05/2021,"27.94","27.97","26.13","26.56","409,340"
08/04/2021,"27.19","27.94","27.19","27.67","414,819"
08/03/2021,"26.62","29.07","25.91","27.25","1,879,250"
08/02/2021,"26.20","27.00","26.11","26.72","463,076"
07/30/2021,"26.00","26.27","25.75","26.08","737,226"
07/29/2021,"26.00","26.64","25.93","26.02","359,779"
07/28/2021,"26.25","26.61","25.71","25.95","243,853"
07/27/2021,"25.93","26.18","25.18","26.00","725,828"
07/26/2021,"24.97","26.92","24.80","26.00","1,509,678"
07/23/2021,"24.43","25.39","24.39","24.97","870,206"
07/22/2021,"24.27","24.36","23.74","24.35","124,677"
07/21/2021,"23.80","24.56","23.76","24.35","295,475"
07/20/2021,"22.93","23.79","22.66","23.60","223,758"
07/19/2021,"23.94","24.01","22.45","23.00","699,431"
07/16/2021,"24.62","24.80","24.30","24.49","221,203"
07/15/2021,"24.68","24.81","24.12","24.61","372,973"
07/14/2021,"25.02","25.35","24.82","24.91","388,267"
07/13/2021,"25.17","25.80","24.81","24.97","342,883"
07/12/2021,"24.32","25.50","23.85","25.17","411,434"
07/09/2021,"23.42","24.36","23.03","24.32","275,979"
07/08/2021,"23.54","24.01","22.80","23.38","438,263"
07/07/2021,"24.93","25.41","23.65","24.27","506,152"
07/06/2021,"25.94","26.33","24.47","25.47","818,938"
07/02/2021,"24.25","26.71","24.23","25.95","1,276,051"
07/01/2021,"25.39","25.45","23.65","24.12","899,885"
06/30/2021,"23.51","25.37","23.48","24.98","793,533"
06/29/2021,"24.26","25.57","23.05","23.62","1,804,334"
06/28/2021,"22.66","24.13","22.48","24.11","1,066,216"
06/25/2021,"23.00","23.30","21.93","21.93","646,433"
06/24/2021,"23.55","23.75","23.04","23.28","320,898"
06/23/2021,"23.01","23.44","22.61","23.39","375,180"
06/22/2021,"23.25","24.50","22.56","22.92","1,024,297"
06/21/2021,"22.09","23.67","22.00","23.51","2,044,789"
06/18/2021,"20.41","21.76","20.41","21.26","653,023"
06/17/2021,"20.71","20.95","20.40","20.64","331,470"
06/16/2021,"20.89","21.25","20.26","20.59","325,485"
06/15/2021,"21.35","21.73","20.60","20.91","1,089,664"
06/14/2021,"22.02","22.28","21.23","21.40","800,282"
06/11/2021,"22.29","22.59","21.67","22.06","480,062"
06/10/2021,"22.89","23.19","22.27","22.47","763,839"
06/09/2021,"23.60","23.67","22.58","22.83","1,052,245"
06/08/2021,"23.40","23.90","23.29","23.67","660,185"
06/07/2021,"24.40","24.50","23.47","23.63","827,231"
06/04/2021,"24.65","24.69","24.29","24.54","959,399"
06/03/2021,"23.56","24.83","23.56","24.66","1,317,964"
06/02/2021,"22.36","24.00","22.24","23.80","6,791,657"
06/01/2021,"21.00","23.05","20.94","23.05","4,299,609"
05/28/2021,"20.20","21.50","20.15","21.01","2,095,796"
05/27/2021,"20.71","21.76","20.60","20.85","3,134,474"
05/26/2021,"20.00","21.69","19.32","21.10","16,606,301"
