Date,Open,High,Low,Close,Volume
08/11/2021,"5.68","5.71","5.02","5.43","558,154"
08/10/2021,"5.35","5.37","5.16","5.27","94,750"
08/09/2021,"4.91","5.19","4.61","4.95","67,096"
08/06/2021,"5.07","5.37","4.86","4.91","21,474"
08/05/2021,"5.18","5.33","5.04","5.09","34,184"
08/04/2021,"5.42","5.45","5.16","5.28","44,389"
08/03/2021,"5.34","5.50","5.05","5.42","38,683"
08/02/2021,"5.31","5.63","5.21","5.44","31,941"
07/30/2021,"5.24","5.50","4.60","5.30","52,169"
07/29/2021,"5.96","6.44","5.50","5.58","147,492"
07/28/2021,"4.54","5.88","4.54","5.80","626,555"
07/27/2021,"5.00","5.05","4.29","4.60","216,904"
07/26/2021,"4.38","5.15","4.00","4.97","173,109"
07/23/2021,"6.76","6.84","5.71","6.18","400,345"
07/22/2021,"10.01","10.01","9.41","9.54","37,882"
07/21/2021,"9.49","10.68","9.44","10.10","68,326"
07/20/2021,"9.80","9.80","9.27","9.45","35,521"
07/19/2021,"9.03","9.80","9.00","9.42","33,450"
07/16/2021,"9.99","10.17","9.33","9.42","45,527"
07/15/2021,"9.93","10.35","9.85","10.02","61,948"
07/14/2021,"10.19","10.72","9.80","10.06","216,545"
07/13/2021,"11.07","11.26","10.20","10.37","115,414"
07/12/2021,"11.08","11.63","10.89","10.97","160,218"
07/09/2021,"10.64","12.13","10.64","10.84","699,554"
07/08/2021,"9.42","10.56","9.15","10.16","329,887"
07/07/2021,"10.71","10.97","10.01","10.16","197,990"
07/06/2021,"10.61","11.48","10.50","10.79","432,004"
07/02/2021,"12.85","13.17","10.37","11.12","945,421"
07/01/2021,"13.06","13.60","12.55","13.08","503,002"
06/30/2021,"13.32","19.00","12.75","13.11","6,554,712"
06/29/2021,"14.01","14.40","13.30","13.66","747,905"
06/28/2021,"14.26","14.97","13.66","14.11","842,734"
06/25/2021,"13.17","15.88","12.78","14.67","1,124,482"
06/24/2021,"12.80","14.68","12.80","13.09","208,880"
06/23/2021,"12.84","13.52","12.60","12.77","217,559"
06/22/2021,"12.41","13.43","12.20","13.05","274,248"
06/21/2021,"12.74","13.09","12.21","12.64","124,724"
06/18/2021,"12.20","14.00","12.20","12.87","326,439"
06/17/2021,"12.70","13.14","12.26","12.31","63,934"
06/16/2021,"13.09","14.00","12.03","12.84","297,044"
06/15/2021,"13.80","14.30","13.40","13.60","104,478"
06/14/2021,"13.30","15.90","13.15","14.01","827,941"
06/11/2021,"13.76","14.91","13.11","13.43","513,435"
06/10/2021,"15.04","15.79","13.32","13.56","367,696"
06/09/2021,"15.63","15.63","14.12","14.60","532,520"
06/08/2021,"16.13","20.52","14.50","16.99","2,009,900"
