Date,Open,High,Low,Close,Volume
08/30/2021,"16.06","16.15","14.31","14.31","473,633"
08/27/2021,"14.87","16.07","14.40","16.04","324,215"
08/26/2021,"13.66","15.25","13.61","14.87","289,413"
08/25/2021,"14.08","14.40","13.53","13.84","211,106"
08/24/2021,"12.94","15.00","12.89","14.09","394,470"
08/23/2021,"13.51","13.57","12.77","12.97","250,838"
08/20/2021,"13.32","14.05","13.31","13.60","401,272"
08/19/2021,"11.81","13.33","11.81","13.14","469,943"
08/18/2021,"12.19","12.47","11.65","12.02","469,061"
08/17/2021,"11.07","12.86","11.06","12.30","845,563"
08/16/2021,"13.10","13.11","10.81","11.01","761,127"
08/13/2021,"13.84","13.85","12.53","12.79","468,126"
08/12/2021,"13.89","14.15","13.82","13.97","181,867"
08/11/2021,"13.81","14.20","13.34","14.11","236,663"
08/10/2021,"14.00","14.27","13.80","13.93","277,787"
08/09/2021,"14.11","14.50","13.87","13.98","211,028"
08/06/2021,"13.67","14.61","13.50","14.10","363,266"
08/05/2021,"14.00","14.08","13.61","13.68","282,445"
08/04/2021,"13.78","14.17","13.62","14.02","158,269"
08/03/2021,"13.65","13.95","13.52","13.83","194,173"
08/02/2021,"13.76","13.80","13.28","13.63","173,412"
07/30/2021,"13.40","13.76","13.09","13.31","186,597"
07/29/2021,"13.35","13.61","13.00","13.47","203,386"
07/28/2021,"13.00","13.50","13.00","13.01","224,638"
07/27/2021,"13.83","13.99","12.30","13.16","390,579"
07/26/2021,"14.00","14.38","13.60","13.77","435,629"
07/23/2021,"13.28","14.39","13.25","13.77","1,099,406"
07/22/2021,"12.50","14.00","11.88","13.65","4,666,601"
