Date,Open,High,Low,Close,Volume
08/30/2021,"13.38","13.49","12.91","13.00","627,659"
08/27/2021,"12.56","13.38","12.43","13.37","1,026,505"
08/26/2021,"12.88","12.94","11.88","12.63","1,514,642"
08/25/2021,"11.45","13.18","11.32","12.96","2,470,569"
08/24/2021,"10.89","11.67","10.86","11.33","1,016,155"
08/23/2021,"11.00","11.32","10.45","10.91","1,582,165"
08/20/2021,"9.83","11.02","9.83","10.87","1,266,197"
08/19/2021,"9.78","10.23","9.75","9.86","1,254,498"
08/18/2021,"10.08","10.28","9.79","9.79","878,158"
08/17/2021,"9.92","10.09","9.51","9.90","1,137,295"
08/16/2021,"10.00","10.34","9.76","9.83","1,237,221"
08/13/2021,"10.19","10.65","9.84","10.00","1,381,944"
08/12/2021,"10.77","10.94","9.95","10.20","2,462,795"
08/11/2021,"10.35","11.78","10.35","11.07","3,136,694"
08/10/2021,"11.56","11.70","10.14","10.32","2,602,945"
08/09/2021,"12.46","12.58","11.50","11.61","3,057,191"
08/06/2021,"13.34","13.79","11.70","12.33","12,487,030"
08/05/2021,"9.98","15.46","9.95","14.45","99,664,727"
08/04/2021,"8.26","9.08","7.85","8.25","21,721,600"
08/03/2021,"33.65","35.04","33.05","34.83","1,941,224"
08/02/2021,"35.18","35.45","33.10","34.03","191,813"
07/30/2021,"35.19","35.89","33.35","34.79","171,836"
07/29/2021,"35.71","36.45","34.78","35.56","117,452"
07/28/2021,"31.42","35.91","31.42","35.53","234,957"
07/27/2021,"35.00","35.33","30.30","31.01","334,146"
07/26/2021,"39.86","39.87","34.50","34.55","371,245"
07/23/2021,"38.39","39.98","38.20","39.87","228,440"
07/22/2021,"38.08","39.14","37.71","38.81","326,049"
07/21/2021,"40.04","40.57","37.83","38.07","285,191"
07/20/2021,"38.93","40.40","37.67","39.64","331,711"
07/19/2021,"37.87","39.95","36.07","38.57","470,214"
07/16/2021,"35.26","37.35","34.50","35.95","175,179"
07/15/2021,"35.90","36.28","33.81","34.99","207,636"
07/14/2021,"39.15","39.40","35.52","36.18","232,862"
07/13/2021,"36.85","39.44","36.14","38.74","182,218"
07/12/2021,"36.53","37.05","35.77","36.75","171,956"
07/09/2021,"37.68","37.77","36.27","36.57","204,747"
07/08/2021,"38.12","38.90","36.26","37.23","185,984"
07/07/2021,"40.18","41.15","38.52","39.00","242,214"
07/06/2021,"40.62","40.99","38.63","40.36","242,561"
07/02/2021,"40.62","41.93","39.90","41.00","281,407"
07/01/2021,"40.39","40.58","39.50","40.23","252,222"
06/30/2021,"37.89","40.49","37.32","40.01","242,199"
06/29/2021,"39.50","40.01","37.46","37.87","236,551"
06/28/2021,"40.40","41.88","38.75","39.00","269,868"
06/25/2021,"42.07","42.99","40.66","41.15","2,489,523"
06/24/2021,"44.17","45.10","42.25","42.44","261,234"
06/23/2021,"44.59","45.15","43.38","43.60","198,098"
06/22/2021,"44.79","45.50","43.21","44.15","298,341"
06/21/2021,"44.76","45.39","43.56","44.65","297,696"
06/18/2021,"43.23","45.30","43.23","44.43","1,094,939"
06/17/2021,"44.19","45.50","43.22","43.67","564,775"
06/16/2021,"43.72","45.49","43.68","44.89","577,752"
06/15/2021,"45.82","45.99","41.70","43.72","321,313"
06/14/2021,"44.35","46.05","44.35","45.35","385,913"
06/11/2021,"43.80","45.00","43.20","44.06","233,900"
06/10/2021,"41.00","43.52","40.31","43.35","278,609"
06/09/2021,"36.57","40.92","36.26","40.80","309,889"
06/08/2021,"35.87","36.83","35.19","36.19","268,121"
06/07/2021,"35.50","36.00","35.02","35.61","198,314"
06/04/2021,"34.83","35.00","33.87","34.99","115,707"
06/03/2021,"34.97","35.94","33.61","34.45","187,429"
06/02/2021,"34.32","35.55","34.17","34.85","271,439"
06/01/2021,"33.00","34.75","33.00","34.31","428,900"
05/28/2021,"33.85","34.38","32.31","32.38","264,703"
05/27/2021,"35.01","35.30","33.20","33.50","128,317"
05/26/2021,"34.93","35.56","34.55","34.98","256,098"
05/25/2021,"33.87","35.10","33.87","34.66","316,389"
05/24/2021,"35.13","35.96","33.13","33.86","351,934"
05/21/2021,"36.63","37.46","34.76","35.08","286,000"
05/20/2021,"36.18","37.79","35.69","36.16","262,714"
05/19/2021,"35.60","37.17","34.60","35.90","682,634"
05/18/2021,"35.52","38.35","35.16","36.44","626,495"
05/17/2021,"32.27","35.72","32.22","35.00","686,292"
05/14/2021,"29.99","32.16","29.60","31.92","375,010"
05/13/2021,"33.36","34.18","25.75","28.50","689,039"
05/12/2021,"34.04","34.53","31.00","33.13","587,199"
05/11/2021,"34.65","36.37","32.22","34.19","510,435"
05/10/2021,"44.35","44.38","35.80","36.03","263,265"
05/07/2021,"41.84","43.29","41.16","42.77","144,513"
05/06/2021,"47.45","47.45","40.12","41.24","546,399"
05/05/2021,"45.69","47.95","45.10","47.00","241,824"
05/04/2021,"43.03","46.83","41.13","45.24","374,746"
05/03/2021,"46.07","48.98","42.62","43.03","315,456"
04/30/2021,"48.00","50.46","45.21","46.38","239,994"
04/29/2021,"49.44","52.00","48.00","48.42","436,433"
04/28/2021,"45.51","50.72","45.25","48.50","1,754,382"
04/27/2021,"43.71","46.48","43.56","45.33","564,624"
04/26/2021,"39.27","44.97","39.25","43.00","735,149"
04/23/2021,"36.00","40.88","35.75","39.88","1,404,409"
04/22/2021,"40.30","41.15","35.65","37.65","5,323,184"
